Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,400.6863007545471,0.0,6.0,1000,0.0,[499]
7,503.5236511230469,0.0,6.0,1000,0.12245327442159244,[499]
3,503.7807698249817,0.0,6.0,1000,0.10731327853782219,[499]
6,503.76047682762146,0.0,6.0,1000,0.11591616767473513,[499]
5,503.78495693206787,0.0,6.0,1000,0.09407710206936029,[498]
2,503.82383728027344,0.0,6.0,1000,0.12078018137420901,[499]
4,503.9382119178772,0.0,6.0,1000,0.14090135878166946,[500]
1,505.7328460216522,0.0,6.0,1000,0.08710450219939687,[498]
0,526.3780102729797,0.3,6.0,1000,0.15624658045006026,[499]
7,467.4525558948517,0.3,6.0,1000,0.1497009844498225,[497]
3,467.3888318538666,0.3,6.0,1000,0.14276074182448867,[499]
6,467.4494457244873,0.3,6.0,1000,0.15701700829148255,[499]
5,467.478049993515,0.3,6.0,1000,0.1386774890375991,[499]
2,467.4997501373291,0.3,6.0,1000,0.14512901435283906,[499]
4,467.45314288139343,0.3,6.0,1000,0.13845553202340577,[499]
1,470.400447845459,0.3,6.0,1000,0.17304599398615705,[499]
0,490.9655981063843,0.7,6.0,1000,0.5789909682006052,"[519, 530, 544, 553, 565]"
7,467.7450921535492,0.7,6.0,1000,0.48046737276878965,"[502, 557, 595, 618, 627]"
3,467.64665389060974,0.7,6.0,1000,0.3219213833512813,[499]
5,467.5557131767273,0.7,6.0,1000,0.3086882487191071,[500]
2,467.5538692474365,0.7,6.0,1000,0.38755897497339253,"[502, 511]"
6,467.6961588859558,0.7,6.0,1000,0.3496972062030067,[497]
4,468.19057607650757,0.7,6.0,1000,0.2711630000415585,[499]
1,472.2179877758026,0.7,6.0,1000,0.3024013154902281,[499]
0,495.85676527023315,0.0,3.52,1000,0.7062727139878214,"[51, 851]"
3,480.4406862258911,0.0,3.52,1000,0.11876244914791072,[499]
7,480.57137513160706,0.0,3.52,1000,0.13662703143430682,[499]
2,480.4864721298218,0.0,3.52,1000,0.14951947433183424,[499]
6,480.6316478252411,0.0,3.52,1000,0.13888740521417584,[499]
5,480.8195278644562,0.0,3.52,1000,0.12453262540262158,[499]
4,480.3947865962982,0.0,3.52,1000,0.14522477593008373,[499]
1,481.8772430419922,0.0,3.52,1000,0.6233781734739768,"[164, 779]"
0,473.7191438674927,0.3,3.52,1000,0.3052692081778222,"[484, 761]"
7,470.9181230068207,0.3,3.52,1000,0.23136576380298912,[499]
3,470.9953570365906,0.3,3.52,1000,0.19268877531988823,[499]
2,471.0528790950775,0.3,3.52,1000,0.604379844747786,"[168, 533, 574, 645, 656]"
6,471.03896617889404,0.3,3.52,1000,0.1860459701901154,[500]
5,470.9892199039459,0.3,3.52,1000,0.5538142906215993,"[500, 514, 536, 574, 629]"
4,471.2234365940094,0.3,3.52,1000,0.1755630857488579,[497]
1,479.79172110557556,0.3,3.52,1000,0.17410788038608,[499]
0,473.19938802719116,0.7,3.52,1000,0.6295870248327473,"[118, 558, 573, 598, 616]"
7,471.6633520126343,0.7,3.52,1000,0.4165273636712289,"[486, 491, 499]"
3,471.8226089477539,0.7,3.52,1000,0.3751985504743595,[499]
2,471.6975929737091,0.7,3.52,1000,0.4229583998957915,"[81, 495, 499]"
6,471.58193373680115,0.7,3.52,1000,0.765337208924455,"[259, 467, 481, 937]"
5,471.71017813682556,0.7,3.52,1000,0.7903102268173606,"[113, 140, 167, 201, 955]"
4,472.4162349700928,0.7,3.52,1000,0.7960483370398626,"[218, 388, 430, 477, 497]"
1,495.3343849182129,0.7,3.52,1000,0.3676145007741791,[498]
0,484.9546911716461,0.0,2.07,1000,0.31823231874937996,"[376, 420, 504]"
7,484.439817905426,0.0,2.07,1000,0.2217366312903461,[499]
3,484.3412091732025,0.0,2.07,1000,0.3182062640344621,"[528, 531]"
2,484.3270220756531,0.0,2.07,1000,0.20630331190974394,[499]
6,484.4767417907715,0.0,2.07,1000,0.33333665184026395,"[468, 482, 618]"
5,484.5071702003479,0.0,2.07,1000,0.422967687028446,"[514, 534, 574, 591, 599]"
4,484.7590720653534,0.0,2.07,1000,0.21284484233126016,[499]
1,504.4894700050354,0.0,2.07,1000,0.2019617527435511,"[344, 499]"
0,492.1811499595642,0.3,2.07,1000,0.24910023721052676,[499]
6,491.80963921546936,0.3,2.07,1000,0.48320881524651876,"[509, 601, 610, 621, 643]"
3,492.1321859359741,0.3,2.07,1000,0.29171256673992485,[499]
7,492.25081396102905,0.3,2.07,1000,0.25474217382632997,[499]
2,492.3159098625183,0.3,2.07,1000,0.46134285685950266,"[409, 424, 444, 447, 513]"
5,492.10932517051697,0.3,2.07,1000,0.6171917631052709,"[530, 574, 597, 716, 780]"
4,492.47175574302673,0.3,2.07,1000,0.2625611577593704,[499]
1,538.8986568450928,0.3,2.07,1000,0.3170720255315975,[490]
0,506.6319899559021,0.7,2.07,1000,0.625366901765794,"[354, 387, 401, 432]"
6,507.02620100975037,0.7,2.07,1000,0.41101073635854357,[499]
7,507.1238920688629,0.7,2.07,1000,0.6015769909123553,"[505, 515, 536, 582, 601]"
3,507.2674503326416,0.7,2.07,1000,0.4765998201871171,"[508, 517, 522, 529, 538]"
5,507.3366310596466,0.7,2.07,1000,0.42660098924235806,"[499, 504]"
2,507.58820509910583,0.7,2.07,1000,0.436667410811199,"[502, 509, 513, 517]"
