Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,464.24174284935,0.0,6.0,1000,0.1302608473910724,[507]
1,464.19920802116394,0.0,6.0,1000,0.1418082368926939,"[498, 760]"
4,466.8405511379242,0.0,6.0,1000,0.10579809421275854,[499]
3,467.4414052963257,0.0,6.0,1000,0.11318346228066432,[499]
2,467.68391704559326,0.0,6.0,1000,0.1451804989557192,"[375, 499]"
7,467.7269358634949,0.0,6.0,1000,0.2870816313856133,[871]
5,468.2203288078308,0.0,6.0,1000,0.09993865140087396,[499]
6,469.6126968860626,0.0,6.0,1000,0.21770800839905413,"[296, 842]"
0,472.7536449432373,0.3,6.0,1000,0.3383485958207843,[369]
1,472.80173897743225,0.3,6.0,1000,0.390326319955502,[768]
4,466.5316710472107,0.3,6.0,1000,0.11367519526463234,[499]
3,466.79144310951233,0.3,6.0,1000,0.38922935402613,"[840, 991]"
2,467.0575637817383,0.3,6.0,1000,0.2274093605105963,[430]
7,467.0177810192108,0.3,6.0,1000,0.38143654316961745,"[132, 858]"
5,467.3505268096924,0.3,6.0,1000,0.13305950080169765,[499]
6,470.11207723617554,0.3,6.0,1000,0.4041850947580722,"[45, 706]"
1,470.12971901893616,0.7,6.0,1000,0.2413051083476297,"[499, 608]"
0,470.22898721694946,0.7,6.0,1000,0.626045972983445,[]
4,467.7604281902313,0.7,6.0,1000,0.3735612517550958,"[329, 566]"
3,467.6601448059082,0.7,6.0,1000,0.21445676885958675,"[499, 838]"
7,467.9990541934967,0.7,6.0,1000,0.19977892544631762,[499]
2,468.0466182231903,0.7,6.0,1000,0.21341808027668654,"[475, 498]"
5,468.65090703964233,0.7,6.0,1000,0.4256220049649773,"[258, 678]"
6,472.42724800109863,0.7,6.0,1000,0.21274929565622328,[499]
4,468.9786841869354,0.0,3.52,1000,0.1280137417400051,[499]
1,469.5810079574585,0.0,3.52,1000,0.20350761344021193,"[345, 642]"
0,469.5761158466339,0.0,3.52,1000,0.13265453204045793,[498]
3,468.65163111686707,0.0,3.52,1000,0.13325347227101103,[498]
7,468.77299213409424,0.0,3.52,1000,0.17185292488660564,[455]
2,468.86202692985535,0.0,3.52,1000,0.2562830350718876,[359]
5,469.44295597076416,0.0,3.52,1000,0.20225342220417078,[383]
