Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,459.7333257198334,0.0,6.0,1000,0.1121721772446278,[500]
6,459.67647409439087,0.0,6.0,1000,0.11023572946008517,[499]
2,459.97726106643677,0.0,6.0,1000,0.09618552974063367,[495]
7,459.99967217445374,0.0,6.0,1000,0.1810562336383424,[545]
1,460.3053288459778,0.0,6.0,1000,0.14301150219843697,[480]
4,460.4193639755249,0.0,6.0,1000,0.20891114064400662,[550]
5,460.4191608428955,0.0,6.0,1000,0.07979832143579257,[499]
3,460.72580099105835,0.0,6.0,1000,0.09640804372669035,[499]
6,463.52936029434204,0.3,6.0,1000,0.11947132509878831,[499]
0,463.7681841850281,0.3,6.0,1000,0.21251126048988098,"[518, 932]"
2,463.6976230144501,0.3,6.0,1000,0.2498762530773547,[447]
7,463.68031311035156,0.3,6.0,1000,0.12003420101155764,[499]
4,463.8544080257416,0.3,6.0,1000,0.116501394079418,[499]
1,463.99094796180725,0.3,6.0,1000,0.10969065274748639,[501]
5,463.86410903930664,0.3,6.0,1000,0.11088407590568206,[499]
3,464.709055185318,0.3,6.0,1000,0.11187355565644651,[499]
6,465.21939611434937,0.7,6.0,1000,0.5109776503723519,"[345, 350, 426, 446, 811]"
0,465.13504672050476,0.7,6.0,1000,0.22057978698365524,[499]
2,465.21872115135193,0.7,6.0,1000,0.44614466365640776,"[346, 383, 437, 447, 487]"
7,465.2970449924469,0.7,6.0,1000,0.3377503734417963,"[453, 479, 483, 498, 752]"
4,465.38848900794983,0.7,6.0,1000,0.19674503855912595,[499]
1,465.4002799987793,0.7,6.0,1000,0.1941014687714701,[499]
5,465.3969931602478,0.7,6.0,1000,0.19811952410921313,[499]
3,466.5905690193176,0.7,6.0,1000,0.2183067603243287,"[499, 698]"
6,466.28664898872375,0.0,3.52,1000,0.20040984226499092,"[479, 612]"
0,466.15329694747925,0.0,3.52,1000,0.17272040425467927,"[318, 513]"
2,466.01710391044617,0.0,3.52,1000,0.1978159074233621,"[534, 671]"
7,466.0663011074066,0.0,3.52,1000,0.39616839587905317,[181]
5,466.0536370277405,0.0,3.52,1000,0.11895494578658267,[499]
1,466.0886240005493,0.0,3.52,1000,0.11257576427709297,[500]
4,466.0987148284912,0.0,3.52,1000,0.41607781221458623,[883]
3,467.79759097099304,0.0,3.52,1000,0.11048742755169148,[499]
0,466.9725811481476,0.3,3.52,1000,0.16452953774461615,[499]
6,467.0569484233856,0.3,3.52,1000,0.1441745839110392,[499]
7,466.8096580505371,0.3,3.52,1000,0.1554302224122228,[499]
2,467.16235613822937,0.3,3.52,1000,0.15979763936788305,[502]
1,467.09053802490234,0.3,3.52,1000,0.4685062096046736,"[170, 836]"
5,467.1717519760132,0.3,3.52,1000,0.15759302611963003,[498]
4,467.3106129169464,0.3,3.52,1000,0.19198103408546538,[482]
3,470.84799003601074,0.3,3.52,1000,0.1931582750929915,"[485, 491]"
6,466.89161014556885,0.7,3.52,1000,0.2582164249480428,[499]
0,467.01443672180176,0.7,3.52,1000,0.41538905862338815,"[353, 437, 669]"
