Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,458.3153307437897,0.0,6.0,1000,0.08515337772655895,[416]
1,458.4833519458771,0.0,6.0,1000,0.06783948344458313,[489]
3,458.4950420856476,0.0,6.0,1000,0.08800513079666265,[407]
2,458.62618112564087,0.0,6.0,1000,0.08062380299441163,[568]
4,458.67685294151306,0.0,6.0,1000,0.08311674311991125,[446]
6,459.0273609161377,0.0,6.0,1000,0.10047990460608285,[661]
7,459.1292338371277,0.0,6.0,1000,0.08933316226924348,[606]
5,459.66963505744934,0.0,6.0,1000,0.06885972082150393,[500]
0,460.04562187194824,0.3,6.0,1000,0.15318556627916982,[709]
1,460.2057948112488,0.3,6.0,1000,0.12635394510695838,[559]
2,460.04276299476624,0.3,6.0,1000,0.09381376798779939,[491]
3,460.2565302848816,0.3,6.0,1000,0.14970265226604168,[261]
4,460.4345932006836,0.3,6.0,1000,0.13058811871363235,"[382, 444]"
6,460.6751661300659,0.3,6.0,1000,0.18653714463408352,[783]
7,460.90506982803345,0.3,6.0,1000,0.12294752115315404,[577]
5,461.9715893268585,0.3,6.0,1000,0.13087928535902332,"[374, 461]"
0,462.6284430027008,0.7,6.0,1000,0.16747529276728038,[499]
3,462.35596990585327,0.7,6.0,1000,0.22448941678627718,"[387, 504, 836]"
2,462.53989124298096,0.7,6.0,1000,0.2078913625402988,[418]
1,462.5597949028015,0.7,6.0,1000,0.29004563104065073,"[190, 236, 249]"
4,462.55493807792664,0.7,6.0,1000,0.28406609287981505,[736]
6,462.7427170276642,0.7,6.0,1000,0.20476574501299896,[533]
7,462.5916907787323,0.7,6.0,1000,0.3050178109925496,"[68, 850]"
5,464.2307159900665,0.7,6.0,1000,0.30185128638344594,"[144, 805, 808]"
0,463.3010380268097,0.0,3.52,1000,0.09454528269303066,[633]
3,463.43012404441833,0.0,3.52,1000,0.07750343907416964,[518]
2,463.3148019313812,0.0,3.52,1000,0.07875238267699604,[461]
1,463.49240708351135,0.0,3.52,1000,0.11120456529513227,[]
4,463.38719415664673,0.0,3.52,1000,0.10446338460764697,[645]
6,463.8530750274658,0.0,3.52,1000,0.11445074821204554,[]
7,463.7530629634857,0.0,3.52,1000,0.08990466947200998,[577]
5,465.5758957862854,0.0,3.52,1000,0.08422246694073574,[589]
0,464.4834611415863,0.3,3.52,1000,0.10311615880948505,[476]
2,464.3078787326813,0.3,3.52,1000,0.1927576617579561,[]
3,464.49538803100586,0.3,3.52,1000,0.1452161806025168,[394]
1,464.39080929756165,0.3,3.52,1000,0.09479456914490109,[499]
4,464.4702868461609,0.3,3.52,1000,0.14933637900032126,[689]
6,464.62686920166016,0.3,3.52,1000,0.1694663907502532,[850]
7,464.69942235946655,0.3,3.52,1000,0.19276703881792115,[129]
5,469.9713079929352,0.3,3.52,1000,0.10412949384083865,[514]
0,465.495728969574,0.7,3.52,1000,0.19963603463638382,[413]
2,465.69340109825134,0.7,3.52,1000,0.16663530745929767,"[119, 493]"
3,465.5166289806366,0.7,3.52,1000,0.19623885171518407,"[431, 562]"
1,465.56137108802795,0.7,3.52,1000,0.29213643388373733,[797]
4,465.6325397491455,0.7,3.52,1000,0.15813118304326254,[505]
6,465.51300716400146,0.7,3.52,1000,0.1649359908849747,[499]
7,465.6626329421997,0.7,3.52,1000,0.3044794453267414,[183]
5,475.70777702331543,0.7,3.52,1000,0.22308753386195165,"[519, 596, 599]"
0,470.3299009799957,0.0,2.07,1000,0.08661372353798108,[543]
2,470.4275848865509,0.0,2.07,1000,0.11882410221367642,[719]
3,470.48092794418335,0.0,2.07,1000,0.10004247194892811,[641]
1,470.59210205078125,0.0,2.07,1000,0.09296227061102243,[573]
4,470.23811507225037,0.0,2.07,1000,0.0910098932616468,[538]
6,470.306761264801,0.0,2.07,1000,0.12361551749426682,[]
7,470.4265983104706,0.0,2.07,1000,0.11683375852089511,[310]
5,482.5128138065338,0.0,2.07,1000,0.11770322970589465,[713]
0,471.42278695106506,0.3,2.07,1000,0.17911334488538516,"[58, 202]"
2,471.3656587600708,0.3,2.07,1000,0.16760215451489036,[203]
3,471.3732852935791,0.3,2.07,1000,0.1427209356204054,[353]
4,471.39103603363037,0.3,2.07,1000,0.12604418003480525,[519]
1,471.5190758705139,0.3,2.07,1000,0.18686054247150294,[]
6,471.8024790287018,0.3,2.07,1000,0.14188658877255605,[668]
7,472.19576478004456,0.3,2.07,1000,0.11033084962865437,[455]
5,489.8048028945923,0.3,2.07,1000,0.1794502439779351,[737]
0,473.671856880188,0.7,2.07,1000,0.27029733773724135,"[229, 232]"
3,473.50448179244995,0.7,2.07,1000,0.22352242083931667,"[299, 632]"
2,473.59658575057983,0.7,2.07,1000,0.2634678458586517,"[157, 793, 817]"
4,473.4344549179077,0.7,2.07,1000,0.20435293251583111,"[534, 567]"
1,473.51095485687256,0.7,2.07,1000,0.16672773809547142,"[453, 470]"
6,473.71257996559143,0.7,2.07,1000,0.1845749139742305,"[496, 781]"
7,475.1395421028137,0.7,2.07,1000,0.20037924896548906,"[345, 435, 542]"
5,527.5643708705902,0.7,2.07,1000,0.1746388010499465,[507]
0,490.79540491104126,0.0,1.22,1000,0.10592140024098234,[551]
2,490.9453330039978,0.0,1.22,1000,0.10796989979636573,[446]
3,491.08490324020386,0.0,1.22,1000,0.09751953759035649,[431]
4,491.00630617141724,0.0,1.22,1000,0.1236398148624437,[738]
1,491.3912389278412,0.0,1.22,1000,0.11862736388006294,[739]
6,490.6091117858887,0.0,1.22,1000,0.10222835386132882,[495]
7,493.86889028549194,0.0,1.22,1000,0.12806436859352188,"[248, 650]"
5,587.6941077709198,0.0,1.22,1000,0.11657211093614256,[360]
0,490.17166781425476,0.3,1.22,1000,0.13608041988310213,[571]
3,489.9438259601593,0.3,1.22,1000,0.15891977583583303,[751]
2,490.23404598236084,0.3,1.22,1000,0.13175405393630046,[426]
4,490.19667291641235,0.3,1.22,1000,0.1334204827824246,[593]
1,490.791109085083,0.3,1.22,1000,0.15839839061329353,[653]
6,489.90062284469604,0.3,1.22,1000,0.16320794127421262,[145]
7,495.06940388679504,0.3,1.22,1000,0.16732970496424734,[829]
