Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
5,461.5113501548767,0.0,6.0,1000,0.08672977018874461,[499]
6,461.9280638694763,0.0,6.0,1000,0.09328097992704089,[500]
0,462.04926013946533,0.0,6.0,1000,0.07461329060542703,[499]
4,462.14219307899475,0.0,6.0,1000,0.06844604256198814,[496]
3,462.2776529788971,0.0,6.0,1000,0.11819312647624133,[500]
1,462.38538908958435,0.0,6.0,1000,0.12463739036623415,[499]
7,462.255774974823,0.0,6.0,1000,0.10406590986130458,[499]
2,462.55524587631226,0.0,6.0,1000,0.10390722673900099,[499]
5,459.2730360031128,0.3,6.0,1000,0.14504494078014654,[500]
6,459.8079078197479,0.3,6.0,1000,0.14878430169513332,[499]
0,459.9012999534607,0.3,6.0,1000,0.1560070533684827,[499]
4,459.78386783599854,0.3,6.0,1000,0.125596728975923,[498]
3,459.8549540042877,0.3,6.0,1000,0.13673330874778808,[499]
7,459.79267382621765,0.3,6.0,1000,0.12879162870753225,[499]
1,460.18827295303345,0.3,6.0,1000,0.5919063973096856,"[578, 586]"
2,460.20994901657104,0.3,6.0,1000,0.16131429643248923,[500]
5,462.3823251724243,0.7,6.0,1000,0.32646273463174896,[499]
6,462.3871750831604,0.7,6.0,1000,0.3948530280455395,"[294, 402, 501]"
0,462.35759806632996,0.7,6.0,1000,0.299104299189924,[499]
4,462.3470251560211,0.7,6.0,1000,0.3405472898662681,[501]
7,462.27333974838257,0.7,6.0,1000,0.31400501721902235,[499]
3,462.4524381160736,0.7,6.0,1000,0.28272887951989606,[499]
1,462.60729598999023,0.7,6.0,1000,0.30414018594933406,[499]
2,463.062219619751,0.7,6.0,1000,0.3280585601308869,[499]
5,464.989159822464,0.0,3.52,1000,0.14274243949333704,[499]
6,464.78353786468506,0.0,3.52,1000,0.11295795110266951,[499]
0,464.7452278137207,0.0,3.52,1000,0.13061276411686984,[496]
4,464.8245759010315,0.0,3.52,1000,0.15827689372372658,[495]
7,464.88854718208313,0.0,3.52,1000,0.12428528034132276,[502]
3,465.09700989723206,0.0,3.52,1000,0.11005739544967129,[498]
1,465.2913031578064,0.0,3.52,1000,0.14132979651828892,[499]
2,465.97701621055603,0.0,3.52,1000,0.7184109922370668,[]
5,467.82446575164795,0.3,3.52,1000,0.17394459684870106,[499]
6,467.9226360321045,0.3,3.52,1000,0.765229792486679,[]
0,467.9780399799347,0.3,3.52,1000,0.20302882374636205,[499]
4,467.89317774772644,0.3,3.52,1000,0.21010686526128997,[499]
7,467.94156980514526,0.3,3.52,1000,0.29216017070593303,"[14, 489]"
3,467.9807469844818,0.3,3.52,1000,0.23061803555831512,[500]
1,468.6348249912262,0.3,3.52,1000,0.700306608706347,"[790, 892]"
2,470.29189109802246,0.3,3.52,1000,0.19132965676870797,[499]
5,471.0463809967041,0.7,3.52,1000,0.41283977724320714,"[500, 975]"
6,470.8945951461792,0.7,3.52,1000,0.3975855465848143,"[355, 499]"
4,470.870267868042,0.7,3.52,1000,0.8368623124016158,[]
0,470.89674401283264,0.7,3.52,1000,0.4243525293385705,"[164, 499]"
7,470.74605989456177,0.7,3.52,1000,0.8345665077406654,[]
3,470.52674102783203,0.7,3.52,1000,0.8499782286861091,[]
1,471.23396921157837,0.7,3.52,1000,0.850731219713686,[]
2,472.6927490234375,0.7,3.52,1000,0.383215206507203,[499]
5,471.6500930786133,0.0,2.07,1000,0.3224180722516627,[455]
6,471.6516330242157,0.0,2.07,1000,0.663660560404464,[]
0,471.6337308883667,0.0,2.07,1000,0.20114335780358786,[499]
4,471.8566951751709,0.0,2.07,1000,0.3725710169853224,[452]
7,471.85140776634216,0.0,2.07,1000,0.19778751052088667,[500]
3,471.74897503852844,0.0,2.07,1000,0.6828762070524991,[]
1,472.6950469017029,0.0,2.07,1000,0.40493174318972824,"[428, 435]"
2,476.37402176856995,0.0,2.07,1000,0.45529776156341367,"[279, 564]"
5,478.17950797080994,0.3,2.07,1000,0.25888435325695586,[499]
6,478.2396957874298,0.3,2.07,1000,0.25710295273837397,[499]
0,478.1586899757385,0.3,2.07,1000,0.7265668756629069,[]
3,477.8459041118622,0.3,2.07,1000,0.2644263261662433,[498]
4,478.07271695137024,0.3,2.07,1000,0.6564594226431736,"[171, 819]"
7,478.1982569694519,0.3,2.07,1000,0.530059248351088,[574]
1,478.02257323265076,0.3,2.07,1000,0.74679650305802,[]
2,482.168429851532,0.3,2.07,1000,0.4706566065966298,[547]
5,479.6074092388153,0.7,2.07,1000,0.8025570504160582,[]
0,479.86793088912964,0.7,2.07,1000,0.7945992509431284,[]
6,479.90209889411926,0.7,2.07,1000,0.797871096246332,[]
4,479.94296002388,0.7,2.07,1000,0.8021971520918545,[]
7,479.7324330806732,0.7,2.07,1000,0.41650670907347354,"[499, 867]"
3,480.0618679523468,0.7,2.07,1000,0.7978530196739073,[]
1,480.1866328716278,0.7,2.07,1000,0.8012452596904889,[]
2,487.30037021636963,0.7,2.07,1000,0.8052786371141741,[]
5,482.5252799987793,0.0,1.22,1000,0.4902910943335192,"[287, 872]"
0,482.32705521583557,0.0,1.22,1000,0.5890208016573273,"[97, 252]"
6,482.34347796440125,0.0,1.22,1000,0.619669871457382,[]
3,482.10592317581177,0.0,1.22,1000,0.2585829406797376,[500]
7,482.14788699150085,0.0,1.22,1000,0.2859609400916212,[500]
4,482.2048120498657,0.0,1.22,1000,0.5763898208999205,"[20, 824]"
1,482.53417778015137,0.0,1.22,1000,0.4543924460260922,"[367, 733]"
2,495.592337846756,0.0,1.22,1000,0.22834816328897165,[496]
5,485.3410487174988,0.3,1.22,1000,0.6766689451420286,[]
0,485.54270005226135,0.3,1.22,1000,0.32729774530993727,"[501, 925]"
6,485.54447293281555,0.3,1.22,1000,0.6535236659454262,[]
3,485.61962699890137,0.3,1.22,1000,0.3090520593525057,"[135, 499]"
4,485.66897797584534,0.3,1.22,1000,0.32561374652888364,[505]
7,485.7788667678833,0.3,1.22,1000,0.3103424592669651,[497]
1,486.5564548969269,0.3,1.22,1000,0.315860554071402,[499]
2,513.0657689571381,0.3,1.22,1000,0.43147106340958663,[457]
5,490.799528837204,0.7,1.22,1000,0.7156879606034038,[]
0,490.5441129207611,0.7,1.22,1000,0.732499725877879,[]
3,490.42186188697815,0.7,1.22,1000,0.7432369566804787,[]
6,490.55493783950806,0.7,1.22,1000,0.7453031746623835,[]
4,490.45648312568665,0.7,1.22,1000,0.711715632082412,[]
7,490.87196707725525,0.7,1.22,1000,0.7498917661251149,[]
1,492.469929933548,0.7,1.22,1000,0.7286439470127613,[]
2,534.6708981990814,0.7,1.22,1000,0.7289862798288519,[]
5,508.63509488105774,0.0,0.71,1000,0.4177739552663529,"[376, 379]"
0,508.4967761039734,0.0,0.71,1000,0.27450856300739185,[488]
6,508.50648188591003,0.0,0.71,1000,0.2976167161092935,[499]
3,508.7079339027405,0.0,0.71,1000,0.4645257179257949,[326]
4,508.74279618263245,0.0,0.71,1000,0.289365399503905,"[499, 550]"
7,508.89105701446533,0.0,0.71,1000,0.5302329173943385,[]
1,509.06929087638855,0.0,0.71,1000,0.34012211108769214,"[287, 552]"
2,593.0071310997009,0.0,0.71,1000,0.383576975154869,"[427, 449, 459, 465]"
5,502.1439571380615,0.3,0.71,1000,0.3283938664688695,[498]
0,502.4605288505554,0.3,0.71,1000,0.597877870657576,[]
6,502.4842960834503,0.3,0.71,1000,0.5937516602938331,[]
3,502.37108612060547,0.3,0.71,1000,0.4728906830796949,"[338, 872]"
4,502.36204504966736,0.3,0.71,1000,0.34351143741033413,[498]
7,502.70875811576843,0.3,0.71,1000,0.5982571613509553,[]
1,504.6097331047058,0.3,0.71,1000,0.585845786624671,[]
2,628.6467471122742,0.3,0.71,1000,0.5944979752451729,[]
5,503.4141628742218,0.7,0.71,1000,0.6640029420758932,[]
6,503.3380239009857,0.7,0.71,1000,0.6501160447336726,[]
3,503.46096897125244,0.7,0.71,1000,0.6741266744655265,[]
0,503.64784717559814,0.7,0.71,1000,0.6372473052465029,[]
