country,optimal_number,optimal_change_point_year,optimality_gap,RSS,method
United Kingdom,5,"[1989, 1992, 2001, 2016, 2020]",0.0,0.12135975636849415,Baseline
France,5,"[1984, 1993, 2001, 2007, 2018]",0.0,0.37074992722632355,Baseline
Germany,5,"[1985, 1993, 2001, 2005, 2020]",0.0,0.8460418379300151,Baseline
Luxembourg,5,"[1975, 1980, 1990, 2002, 2006]",0.0,0.17973045448996225,Baseline
Ireland,5,"[1978, 1987, 1998, 2010, 2020]",0.0,0.1344360851888361,Baseline
Malta,5,"[1982, 1986, 1991, 1994, 2001]",0.0,4.619595894558313,Baseline
United Kingdom,4,"[1990, 2000, 2016, 2020]",2.7988116573933622e-05,0.15157670053162842,Quadratic Penalty
France,5,"[1984, 1993, 2001, 2007, 2018]",0.0,0.3707499272263236,Quadratic Penalty
Germany,5,"[1985, 1993, 2001, 2005, 2020]",0.0,0.8460418379300145,Quadratic Penalty
Luxembourg,5,"[1975, 1980, 1990, 2002, 2006]",9.027410611299649e-05,0.17973045448995945,Quadratic Penalty
Ireland,5,"[1978, 1987, 1998, 2010, 2020]",9.264577534147812e-05,0.13443608518883632,Quadratic Penalty
Malta,5,"[1982, 1986, 1991, 1994, 2001]",0.0,4.619595894558307,Quadratic Penalty
United Kingdom,5,"[1989, 1992, 2001, 2016, 2020]",0.0,0.13130979364478956,Squared BigM
France,5,"[1984, 1993, 2001, 2008, 2018]",0.0,0.43174439138041226,Squared BigM
Germany,5,"[1985, 1992, 1995, 2000, 2005]",5.4193309470202815e-05,1.2105487521853135,Squared BigM
Luxembourg,5,"[1975, 1980, 1990, 2002, 2006]",9.276903657270798e-05,0.1861100730031849,Squared BigM
Ireland,5,"[1978, 1987, 1998, 2010, 2020]",0.0,0.13443608518883587,Squared BigM
Malta,5,"[1980, 1986, 1994, 2000, 2004]",0.0,6.218799304853068,Squared BigM
United Kingdom,5,"[1989, 1992, 2001, 2016, 2020]",0.0,0.12135992108090561,l2 regularization
France,5,"[1984, 1993, 2001, 2007, 2018]",0.0,0.3707553207419862,l2 regularization
Germany,5,"[1985, 1993, 2001, 2005, 2020]",0.0,0.8460440528015001,l2 regularization
Luxembourg,5,"[1975, 1980, 1990, 2002, 2006]",0.0,0.17973240247470618,l2 regularization
Ireland,5,"[1978, 1987, 1998, 2010, 2020]",0.0,0.13443653696179472,l2 regularization
Malta,5,"[1982, 1986, 1991, 1994, 2001]",0.0,4.619608303897558,l2 regularization
United Kingdom,3,"[1990, 2000, 2016]",,0.2246233738935204,Bai and Perron
France,3,"[1993, 1999, 2018]",,0.5628527497649531,Bai and Perron
Germany,5,"[1985, 1993, 2002, 2010, 2017]",,0.8356915080684787,Bai and Perron
Luxembourg,3,"[1975, 1980, 1990]",,0.27278922230661334,Bai and Perron
Ireland,5,"[1978, 1987, 1998, 2010, 2019]",,0.17072092231158748,Bai and Perron
Malta,5,"[1985, 1988, 1993, 2000, 2004]",,2.4458012672509954,Bai and Perron
