"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.3,1.22,1000,499,496,506,501,508,497
0.3,1.22,1000,500,503,505,504,501,506
0.3,1.22,1000,494,496,484,491,495,490
0.3,1.22,1000,494,493,495,496,500,498
0.3,1.22,1000,498,500,499,494,497,495
0.3,1.22,1000,501,499,498,503,508,500
0.3,1.22,1000,504,500,502,507,515,492
0.3,1.22,1000,495,493,496,498,500,499
0.3,1.22,1000,502,503,498,497,500,975
0.3,1.22,1000,494,484,499,497,485,490
0.3,1.22,1000,500,501,499,498,494,54
0.3,1.22,1000,502,499,501,503,498,505
0.3,1.22,1000,502,498,500,367,499,357
0.3,1.22,1000,494,500,495,493,496,498
0.3,1.22,1000,496,497,510,495,506,985
0.3,1.22,1000,500,501,505,503,398,499
0.3,1.22,1000,496,494,497,500,502,486
0.3,1.22,1000,499,497,500,501,492,473
0.3,1.22,1000,500,499,501,492,494,490
0.3,1.22,1000,497,499,498,495,500,483
0.3,1.22,1000,499,500,505,508,512,507
0.3,1.22,1000,502,501,495,504,499,494
0.3,1.22,1000,502,500,501,498,497,504
0.3,1.22,1000,502,503,495,3,4,5
0.3,1.22,1000,503,505,502,507,500,510
0.3,1.22,1000,499,501,498,497,502,496
0.3,1.22,1000,501,499,502,503,500,504
0.3,1.22,1000,504,505,513,511,508,500
0.3,1.22,1000,501,500,504,495,499,496
0.3,1.22,1000,495,490,493,486,496,537
0.3,1.22,1000,500,503,501,499,510,502
0.3,1.22,1000,504,503,495,498,506,497
0.3,1.22,1000,494,486,487,498,497,481
0.3,1.22,1000,500,498,499,514,527,501
0.3,1.22,1000,501,502,498,494,499,500
0.3,1.22,1000,499,498,504,509,503,495
0.3,1.22,1000,497,501,517,500,499,515
0.3,1.22,1000,499,494,497,486,498,505
0.3,1.22,1000,505,503,501,502,516,506
0.3,1.22,1000,943,509,938,941,945,935
0.3,1.22,1000,485,477,500,501,522,482
0.3,1.22,1000,490,488,493,489,496,491
0.3,1.22,1000,500,498,496,501,497,234
