"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0,1.22,1000,499,502,504,507,497,494
0,1.22,1000,499,489,491,500,490,498
0,1.22,1000,496,491,497,488,492,502
0,1.22,1000,501,500,2,997,378,495
0,1.22,1000,500,497,501,503,495,498
0,1.22,1000,494,495,485,506,493,492
0,1.22,1000,496,497,495,493,499,494
0,1.22,1000,501,499,498,500,494,495
0,1.22,1000,500,499,501,497,997,11
0,1.22,1000,500,499,504,502,492,493
0,1.22,1000,502,501,497,510,496,513
0,1.22,1000,500,499,496,994,996,501
0,1.22,1000,503,502,505,500,510,506
0,1.22,1000,503,495,500,501,502,511
0,1.22,1000,500,501,489,498,5,6
0,1.22,1000,493,501,508,507,494,492
0,1.22,1000,498,499,497,501,489,500
0,1.22,1000,499,501,498,500,502,503
0,1.22,1000,500,501,497,496,499,495
0,1.22,1000,493,497,496,500,992,993
0,1.22,1000,499,500,502,505,498,508
0,1.22,1000,505,499,503,998,3,11
0,1.22,1000,502,498,504,500,505,12
0,1.22,1000,500,499,504,162,184,185
0,1.22,1000,500,497,496,492,498,494
0,1.22,1000,499,500,505,497,501,498
0,1.22,1000,500,499,502,501,488,487
0,1.22,1000,500,499,506,505,502,496
0,1.22,1000,502,482,493,492,488,496
0,1.22,1000,502,500,499,498,508,503
0,1.22,1000,496,500,503,497,501,493
0,1.22,1000,500,499,496,495,501,494
0,1.22,1000,500,57,62,155,185,222
0,1.22,1000,495,500,493,491,504,490
0,1.22,1000,500,498,499,1,493,497
0,1.22,1000,501,494,504,503,495,493
0,1.22,1000,491,488,498,492,495,489
0,1.22,1000,499,500,503,502,515,529
0,1.22,1000,500,497,511,502,503,513
0,1.22,1000,500,502,12,13,7,11
0,1.22,1000,487,495,499,489,497,488
0,1.22,1000,505,503,499,502,504,500
0,1.22,1000,500,486,493,495,496,170
0,1.22,1000,499,498,500,504,2,1
0,1.22,1000,503,505,494,498,504,495
0,1.22,1000,501,502,500,504,506,2
0,1.22,1000,498,496,497,500,501,13
0,1.22,1000,521,519,520,500,522,514
0,1.22,1000,501,490,491,996,994,995
0,1.22,1000,499,501,497,503,496,3
0,1.22,1000,501,500,502,9,557,560
0,1.22,1000,500,498,489,493,495,504
0,1.22,1000,492,493,486,490,499,500
0,1.22,1000,497,494,496,498,6,10
0,1.22,1000,500,499,496,498,495,504
0,1.22,1000,509,511,502,505,513,5
0,1.22,1000,500,497,499,501,506,493
0,1.22,1000,499,504,515,500,501,506
0,1.22,1000,500,498,501,508,506,509
0,1.22,1000,502,509,501,506,513,520
0,1.22,1000,502,503,491,515,730,743
0,1.22,1000,500,502,501,499,503,498
0,1.22,1000,505,508,501,504,503,512
0,1.22,1000,502,976,503,500,975,499
0,1.22,1000,500,499,497,501,494,502
0,1.22,1000,492,493,497,494,500,499
0,1.22,1000,498,493,496,3,998,2
0,1.22,1000,508,498,507,506,499,501
0,1.22,1000,502,501,504,500,505,490
0,1.22,1000,497,495,503,504,490,499
0,1.22,1000,499,497,498,500,503,1
0,1.22,1000,500,494,502,4,654,992
0,1.22,1000,499,501,497,500,496,3
0,1.22,1000,501,497,504,499,500,496
0,1.22,1000,491,499,497,494,493,995
0,1.22,1000,501,494,509,203,141,6
0,1.22,1000,498,501,499,513,508,502
0,1.22,1000,502,501,496,504,494,498
0,1.22,1000,501,545,1,2,67,392
0,1.22,1000,501,503,504,500,490,502
0,1.22,1000,497,499,496,498,500,495
0,1.22,1000,500,499,495,502,493,496
0,1.22,1000,502,503,506,505,508,497
0,1.22,1000,500,494,498,499,980,983
0,1.22,1000,501,494,2,340,492,999
0,1.22,1000,502,500,501,503,956,505
0,1.22,1000,501,500,508,509,504,511
0,1.22,1000,503,501,499,500,1,6
0,1.22,1000,510,509,505,506,497,732
0,1.22,1000,500,501,496,503,498,502
0,1.22,1000,507,500,508,503,506,505
0,1.22,1000,500,499,496,343,1,357
0,1.22,1000,499,493,494,500,483,968
0,1.22,1000,488,491,481,496,497,495
0,1.22,1000,500,501,502,499,513,496
0,1.22,1000,500,499,489,480,491,494
0,1.22,1000,499,500,504,493,502,492
0,1.22,1000,506,505,504,500,499,56
0,1.22,1000,494,492,493,495,489,497
0,1.22,1000,502,496,497,499,504,493
0,1.22,1000,497,496,493,499,486,484
0,1.22,1000,499,500,495,496,502,13
0,1.22,1000,489,490,496,498,493,501
0,1.22,1000,506,500,508,507,504,501
0,1.22,1000,496,504,498,505,493,501
0,1.22,1000,500,501,505,502,503,1
0,1.22,1000,500,489,497,505,501,477
0,1.22,1000,503,497,498,501,500,502
0,1.22,1000,500,502,496,217,503,9
0,1.22,1000,499,504,497,498,501,500
0,1.22,1000,496,497,498,502,494,487
0,1.22,1000,495,500,494,493,497,2
0,1.22,1000,507,510,508,506,509,500
0,1.22,1000,499,500,501,2,4,353
0,1.22,1000,503,499,498,5,3,6
0,1.22,1000,500,501,498,491,502,492
0,1.22,1000,501,498,33,29,35,37
0,1.22,1000,500,499,504,503,506,501
0,1.22,1000,502,501,496,3,7,11
0,1.22,1000,503,510,511,502,505,506
0,1.22,1000,503,508,509,511,512,513
0,1.22,1000,477,478,495,475,481,483
0,1.22,1000,497,499,495,501,496,53
0,1.22,1000,503,501,502,492,493,506
0,1.22,1000,498,496,500,503,495,501
0,1.22,1000,500,496,499,497,491,492
0,1.22,1000,502,506,504,499,505,513
0,1.22,1000,498,497,499,500,495,505
0,1.22,1000,495,498,499,494,505,497
0,1.22,1000,491,490,488,481,485,489
0,1.22,1000,501,502,499,497,506,504
0,1.22,1000,498,499,496,497,240,228
0,1.22,1000,499,488,491,494,501,497
0,1.22,1000,499,500,497,496,612,613
0,1.22,1000,502,4,9,593,992,997
0,1.22,1000,511,507,508,512,515,496
0,1.22,1000,500,503,484,502,486,499
0,1.22,1000,499,500,497,496,2,501
0,1.22,1000,496,497,503,495,498,502
0,1.22,1000,502,495,511,507,506,509
0,1.22,1000,497,502,507,495,489,494
0,1.22,1000,497,499,496,501,502,491
0,1.22,1000,498,500,499,497,502,504
0,1.22,1000,503,504,501,502,499,505
0,1.22,1000,503,499,502,497,495,493
0,1.22,1000,498,500,503,495,508,999
0,1.22,1000,500,499,498,494,497,503
0,1.22,1000,498,499,500,507,497,506
0,1.22,1000,500,497,447,453,454,456
0,1.22,1000,507,504,508,506,448,454
0,1.22,1000,506,504,508,512,496,510
0,1.22,1000,506,505,499,500,509,11
0,1.22,1000,501,500,1,6,9,10
0,1.22,1000,503,494,508,496,509,505
0,1.22,1000,494,488,499,500,487,491
0,1.22,1000,502,485,492,491,499,512
0,1.22,1000,501,500,502,504,508,499
0,1.22,1000,501,502,500,505,1,504
0,1.22,1000,500,499,495,493,494,501
0,1.22,1000,499,503,502,491,512,2
0,1.22,1000,496,497,2,5,41,322
0,1.22,1000,487,498,495,493,497,500
0,1.22,1000,501,503,487,496,489,488
0,1.22,1000,508,498,500,499,509,497
0,1.22,1000,498,501,502,497,500,499
0,1.22,1000,500,499,501,507,1,59
0,1.22,1000,500,499,497,496,501,506
0,1.22,1000,504,502,503,506,505,507
0,1.22,1000,505,499,504,506,502,500
0,1.22,1000,533,506,509,508,529,501
0,1.22,1000,501,499,502,500,498,495
0,1.22,1000,499,493,502,511,486,4
0,1.22,1000,500,502,505,499,493,504
0,1.22,1000,502,500,496,503,499,504
0,1.22,1000,499,500,497,503,502,501
0,1.22,1000,500,499,503,512,491,483
0,1.22,1000,500,501,497,499,494,503
0,1.22,1000,498,499,500,997,996,2
0,1.22,1000,500,502,2,503,29,27
0,1.22,1000,499,498,494,500,508,497
0,1.22,1000,501,500,992,993,990,991
0,1.22,1000,495,488,496,498,497,489
0,1.22,1000,498,499,501,502,496,3
0,1.22,1000,499,500,498,497,492,527
0,1.22,1000,499,500,517,501,507,502
0,1.22,1000,500,501,502,499,505,22
0,1.22,1000,494,495,491,492,499,502
0,1.22,1000,502,499,503,488,505,498
0,1.22,1000,502,499,491,504,500,496
0,1.22,1000,495,500,499,504,502,496
0,1.22,1000,503,501,502,500,498,505
0,1.22,1000,501,504,505,503,500,507
0,1.22,1000,498,499,500,514,515,516
0,1.22,1000,500,497,501,3,14,47
0,1.22,1000,461,498,497,501,462,499
0,1.22,1000,500,502,498,5,14,4
0,1.22,1000,497,498,499,500,502,493
0,1.22,1000,500,499,486,494,3,15
0,1.22,1000,500,495,496,498,497,502
0,1.22,1000,498,500,495,496,505,507
0,1.22,1000,499,494,500,502,501,995
0,1.22,1000,504,503,497,499,505,501
0,1.22,1000,501,496,500,503,495,497
0,1.22,1000,501,519,503,499,505,508
0,1.22,1000,495,499,489,498,491,496
0,1.22,1000,505,503,498,504,502,499
0,1.22,1000,500,503,506,509,499,531
0,1.22,1000,499,498,500,490,502,493
0,1.22,1000,502,499,507,503,508,504
0,1.22,1000,501,499,504,495,494,512
0,1.22,1000,496,498,501,500,505,3
0,1.22,1000,504,502,506,505,503,6
0,1.22,1000,500,504,1,502,507,493
0,1.22,1000,500,501,505,499,502,5
0,1.22,1000,497,503,494,480,488,507
0,1.22,1000,493,494,499,508,492,496
0,1.22,1000,496,498,493,996,20,49
0,1.22,1000,498,502,503,497,1,2
0,1.22,1000,499,500,505,498,497,495
0,1.22,1000,501,494,504,508,505,491
0,1.22,1000,500,505,502,501,499,512
0,1.22,1000,496,501,502,499,504,498
0,1.22,1000,501,500,499,498,988,983
0,1.22,1000,501,487,500,494,483,489
0,1.22,1000,501,499,500,23,32,36
0,1.22,1000,500,499,501,498,497,494
0,1.22,1000,500,499,497,496,494,490
0,1.22,1000,501,503,499,494,2,8
0,1.22,1000,500,506,505,503,497,498
0,1.22,1000,500,504,503,502,501,498
0,1.22,1000,493,494,496,491,508,492
