"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0,6,1000,500,1,2,3,4,5
0,6,1000,500,998,997,1,2,3
0,6,1000,500,499,501,1,2,3
0,6,1000,500,1,2,3,4,5
0,6,1000,500,501,498,192,1,2
0,6,1000,500,499,2,999,1,3
0,6,1000,500,999,1,2,3,4
0,6,1000,499,496,498,1,2,3
0,6,1000,501,500,1,499,999,2
0,6,1000,502,498,500,1,998,2
0,6,1000,500,499,1,2,3,4
0,6,1000,500,998,1,2,3,4
0,6,1000,500,499,501,1,2,3
0,6,1000,500,3,2,1,4,5
0,6,1000,500,499,501,1,502,2
0,6,1000,499,1,2,3,4,5
0,6,1000,499,1,2,3,4,5
0,6,1000,500,501,503,1,498,499
0,6,1000,500,499,999,1,2,3
0,6,1000,500,501,502,1,2,3
0,6,1000,500,499,999,1,2,3
0,6,1000,499,498,1,2,3,4
0,6,1000,501,1,2,3,4,5
0,6,1000,500,3,501,1,2,4
0,6,1000,500,999,1,2,3,4
0,6,1000,499,500,999,1,2,3
0,6,1000,500,1,2,3,4,5
0,6,1000,500,499,501,1,2,3
0,6,1000,501,500,502,1,2,3
0,6,1000,500,501,2,1,3,4
0,6,1000,500,501,1,2,6,5
0,6,1000,500,499,1,3,2,4
0,6,1000,500,3,4,501,2,499
0,6,1000,499,501,994,1,2,3
0,6,1000,500,499,1,2,3,4
0,6,1000,500,999,1,2,3,4
0,6,1000,500,502,2,1,3,4
0,6,1000,500,1,2,3,4,5
0,6,1000,500,1,2,3,4,5
0,6,1000,501,502,500,2,3,4
0,6,1000,500,501,499,498,497,1
0,6,1000,502,501,500,505,997,1
0,6,1000,500,1,499,998,2,3
0,6,1000,504,502,499,498,501,1
0,6,1000,500,3,1,2,4,5
0,6,1000,500,1,2,3,4,5
0,6,1000,500,501,1,2,3,4
0,6,1000,500,3,999,1,2,4
0,6,1000,500,1,4,502,2,3
0,6,1000,500,498,1,2,3,4
0,6,1000,500,501,1,2,3,4
0,6,1000,500,1,2,3,4,5
0,6,1000,500,499,999,1,2,3
0,6,1000,501,500,2,1,3,4
0,6,1000,501,500,499,1,2,3
0,6,1000,500,499,999,1,2,3
0,6,1000,500,498,1,2,3,4
0,6,1000,499,500,1,2,3,4
0,6,1000,500,999,8,2,997,998
0,6,1000,500,501,1,2,3,4
0,6,1000,499,1,2,3,4,5
0,6,1000,500,501,499,1,2,3
0,6,1000,500,497,1,2,3,4
0,6,1000,500,1,2,3,4,5
0,6,1000,500,998,496,498,999,1
0,6,1000,500,999,1,2,3,4
0,6,1000,500,501,997,498,998,1
0,6,1000,499,1,2,3,4,5
0,6,1000,500,499,503,501,1,2
0,6,1000,500,499,1,2,3,4
