"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0,0.71,1000,505,496,504,502,499,493
0,0.71,1000,515,514,502,511,507,518
0,0.71,1000,498,497,499,500,507,496
0,0.71,1000,499,498,503,500,513,497
0,0.71,1000,491,492,498,501,495,371
0,0.71,1000,497,499,493,496,519,490
0,0.71,1000,503,506,500,509,502,501
0,0.71,1000,487,498,477,499,468,470
0,0.71,1000,500,503,502,499,498,505
0,0.71,1000,495,505,501,497,500,509
0,0.71,1000,491,501,499,504,493,498
0,0.71,1000,471,475,498,490,481,477
0,0.71,1000,501,503,496,505,499,500
0,0.71,1000,508,506,496,503,480,484
0,0.71,1000,496,498,500,493,502,499
0,0.71,1000,498,499,478,494,489,490
0,0.71,1000,514,519,503,520,516,522
0,0.71,1000,495,499,494,493,5,6
0,0.71,1000,494,500,505,502,523,499
0,0.71,1000,496,489,495,476,471,500
0,0.71,1000,492,487,486,483,480,499
0,0.71,1000,507,500,536,503,504,492
0,0.71,1000,499,495,500,498,502,481
0,0.71,1000,497,498,474,491,500,478
0,0.71,1000,497,509,506,496,503,504
0,0.71,1000,493,498,505,509,517,504
0,0.71,1000,492,491,493,494,483,489
0,0.71,1000,516,505,498,483,514,477
0,0.71,1000,495,494,492,475,487,480
0,0.71,1000,504,507,506,503,499,497
0,0.71,1000,506,502,494,499,270,503
0,0.71,1000,515,496,490,499,504,506
0,0.71,1000,499,498,502,500,504,505
0,0.71,1000,501,496,502,499,526,514
0,0.71,1000,500,499,492,502,475,484
0,0.71,1000,495,500,493,497,502,498
0,0.71,1000,500,502,505,506,499,498
0,0.71,1000,505,508,520,506,493,499
0,0.71,1000,500,505,501,492,515,508
0,0.71,1000,518,502,499,515,519,558
0,0.71,1000,501,515,498,519,520,517
0,0.71,1000,504,503,506,508,474,510
0,0.71,1000,514,486,516,495,515,496
0,0.71,1000,506,499,495,497,502,496
0,0.71,1000,499,495,508,480,498,501
0,0.71,1000,498,488,489,497,496,487
0,0.71,1000,508,499,490,488,504,498
0,0.71,1000,497,495,483,479,488,458
0,0.71,1000,495,499,497,500,496,503
0,0.71,1000,498,499,497,518,507,495
0,0.71,1000,527,530,488,525,489,507
0,0.71,1000,991,990,511,512,513,497
0,0.71,1000,501,487,493,676,652,484
0,0.71,1000,503,500,502,505,504,501
0,0.71,1000,500,484,497,493,544,498
0,0.71,1000,511,504,515,505,513,506
0,0.71,1000,506,500,490,492,498,504
