"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.3,3.52,1000,500,498,501,998,497,996
0.3,3.52,1000,500,1,998,2,996,3
0.3,3.52,1000,497,500,501,2,3,495
0.3,3.52,1000,496,497,992,5,854,1
0.3,3.52,1000,499,501,505,3,998,1
0.3,3.52,1000,500,501,502,999,1,755
0.3,3.52,1000,500,997,998,996,988,993
0.3,3.52,1000,500,501,974,979,999,1
0.3,3.52,1000,499,501,502,503,504,91
0.3,3.52,1000,499,497,503,7,999,1
0.3,3.52,1000,500,501,502,504,1,2
0.3,3.52,1000,502,501,498,497,503,3
0.3,3.52,1000,499,501,505,995,498,490
0.3,3.52,1000,500,502,1,4,54,3
0.3,3.52,1000,501,500,2,990,999,1
0.3,3.52,1000,500,499,497,2,3,5
0.3,3.52,1000,499,500,501,498,1,216
0.3,3.52,1000,498,1,208,917,2,3
0.3,3.52,1000,497,500,504,501,503,2
0.3,3.52,1000,500,499,503,497,728,730
0.3,3.52,1000,499,501,500,999,3,4
0.3,3.52,1000,500,8,10,11,12,196
0.3,3.52,1000,499,495,1,501,996,494
0.3,3.52,1000,501,502,500,135,997,125
0.3,3.52,1000,499,498,500,497,501,2
0.3,3.52,1000,500,499,511,139,502,503
0.3,3.52,1000,501,502,504,506,1,340
0.3,3.52,1000,497,498,500,499,496,1
0.3,3.52,1000,500,1,2,3,4,5
0.3,3.52,1000,500,998,499,1,14,504
0.3,3.52,1000,501,1,194,196,193,188
0.3,3.52,1000,500,1,2,3,498,999
0.3,3.52,1000,500,498,501,3,1,2
0.3,3.52,1000,500,501,156,999,1,2
0.3,3.52,1000,500,499,991,993,992,990
0.3,3.52,1000,501,499,502,1,999,2
0.3,3.52,1000,500,994,1,501,993,2
0.3,3.52,1000,502,503,505,5,997,1
0.3,3.52,1000,499,497,498,500,891,892
0.3,3.52,1000,499,500,3,4,1,498
0.3,3.52,1000,500,503,497,999,1,2
0.3,3.52,1000,500,502,503,6,7,8
0.3,3.52,1000,506,502,1,483,496,2
0.3,3.52,1000,500,498,499,235,307,344
0.3,3.52,1000,498,500,499,504,497,496
0.3,3.52,1000,501,1,6,219,222,236
0.3,3.52,1000,500,499,504,999,1,492
0.3,3.52,1000,497,498,502,2,999,3
