"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,1.22,1000,496,527,499,507,538,560
0.7,1.22,1000,509,505,510,499,530,903
0.7,1.22,1000,500,495,494,506,476,499
0.7,1.22,1000,492,493,487,499,496,497
0.7,1.22,1000,498,492,502,489,499,503
0.7,1.22,1000,498,497,500,501,506,505
0.7,1.22,1000,501,499,498,44,43,64
0.7,1.22,1000,503,499,501,504,498,497
0.7,1.22,1000,502,498,501,497,496,500
0.7,1.22,1000,507,498,505,514,504,497
0.7,1.22,1000,493,500,499,508,501,496
0.7,1.22,1000,497,508,504,507,495,501
0.7,1.22,1000,502,500,504,496,503,497
0.7,1.22,1000,493,498,494,483,492,491
0.7,1.22,1000,489,512,487,492,495,484
0.7,1.22,1000,501,495,952,966,965,951
0.7,1.22,1000,505,488,506,498,508,496
0.7,1.22,1000,536,524,525,535,530,498
0.7,1.22,1000,517,509,501,518,511,510
0.7,1.22,1000,506,499,507,512,513,514
0.7,1.22,1000,536,528,531,506,532,505
0.7,1.22,1000,500,498,497,516,504,495
0.7,1.22,1000,506,500,502,501,505,499
0.7,1.22,1000,500,495,498,497,503,501
0.7,1.22,1000,503,508,489,486,512,505
0.7,1.22,1000,495,494,498,508,493,504
0.7,1.22,1000,500,492,499,498,501,497
0.7,1.22,1000,503,505,502,504,500,499
0.7,1.22,1000,492,488,486,489,487,502
0.7,1.22,1000,501,499,500,494,496,498
0.7,1.22,1000,503,508,501,515,491,509
0.7,1.22,1000,533,530,499,508,519,521
0.7,1.22,1000,486,497,516,515,493,523
0.7,1.22,1000,491,488,489,487,500,499
0.7,1.22,1000,522,516,521,513,514,523
0.7,1.22,1000,509,515,514,516,910,918
0.7,1.22,1000,495,497,499,501,500,496
0.7,1.22,1000,500,501,499,496,507,118
0.7,1.22,1000,502,501,500,504,497,481
0.7,1.22,1000,499,488,501,494,490,500
0.7,1.22,1000,502,500,497,503,496,501
0.7,1.22,1000,497,501,496,498,515,500
0.7,1.22,1000,498,497,500,502,961,959
0.7,1.22,1000,500,502,462,496,503,486
0.7,1.22,1000,497,495,499,500,492,496
0.7,1.22,1000,500,497,498,501,521,496
0.7,1.22,1000,501,495,504,498,500,499
0.7,1.22,1000,496,508,505,512,511,514
0.7,1.22,1000,487,483,481,478,480,477
0.7,1.22,1000,499,498,500,492,493,501
0.7,1.22,1000,491,495,497,490,496,493
0.7,1.22,1000,502,501,506,510,505,507
0.7,1.22,1000,504,507,503,513,506,500
0.7,1.22,1000,500,506,497,499,496,503
0.7,1.22,1000,496,505,504,507,501,513
0.7,1.22,1000,484,487,480,489,477,505
0.7,1.22,1000,500,504,498,503,491,499
0.7,1.22,1000,488,490,479,482,478,485
0.7,1.22,1000,495,492,494,491,500,497
0.7,1.22,1000,496,500,493,490,510,497
0.7,1.22,1000,499,500,493,501,486,490
0.7,1.22,1000,534,494,535,496,536,504
0.7,1.22,1000,500,498,501,499,491,594
0.7,1.22,1000,500,497,503,499,496,493
0.7,1.22,1000,499,490,494,503,488,492
0.7,1.22,1000,499,498,496,502,507,503
0.7,1.22,1000,496,491,499,495,497,506
0.7,1.22,1000,520,516,517,515,523,2
0.7,1.22,1000,493,490,492,390,363,364
0.7,1.22,1000,503,502,501,500,499,504
0.7,1.22,1000,499,500,497,463,470,496
0.7,1.22,1000,490,508,503,513,512,514
0.7,1.22,1000,496,512,495,494,515,514
0.7,1.22,1000,501,502,499,503,498,507
0.7,1.22,1000,500,488,501,499,487,495
0.7,1.22,1000,521,524,527,529,522,523
0.7,1.22,1000,511,502,506,508,500,507
0.7,1.22,1000,500,499,497,496,498,49
0.7,1.22,1000,503,502,493,511,500,495
0.7,1.22,1000,493,494,502,513,507,505
0.7,1.22,1000,502,500,501,571,503,572
0.7,1.22,1000,498,496,499,495,489,504
0.7,1.22,1000,502,503,500,501,505,499
0.7,1.22,1000,502,499,500,503,495,501
0.7,1.22,1000,491,492,503,494,501,502
0.7,1.22,1000,499,505,520,525,513,504
0.7,1.22,1000,494,497,500,508,13,467
0.7,1.22,1000,501,500,498,504,503,502
0.7,1.22,1000,499,510,512,503,453,454
0.7,1.22,1000,496,498,503,507,501,493
0.7,1.22,1000,491,492,497,493,490,496
0.7,1.22,1000,506,504,502,503,498,507
0.7,1.22,1000,503,502,501,516,505,504
0.7,1.22,1000,493,494,509,447,492,511
0.7,1.22,1000,501,511,502,510,500,503
0.7,1.22,1000,489,498,496,500,491,487
0.7,1.22,1000,501,502,503,500,499,505
0.7,1.22,1000,502,503,499,490,5,489
0.7,1.22,1000,499,498,500,10,8,481
0.7,1.22,1000,500,504,498,503,546,502
0.7,1.22,1000,494,495,500,499,492,497
0.7,1.22,1000,501,498,499,537,502,532
0.7,1.22,1000,495,499,500,498,248,497
0.7,1.22,1000,501,499,497,491,603,610
0.7,1.22,1000,499,504,508,498,506,503
0.7,1.22,1000,494,499,500,493,497,511
0.7,1.22,1000,497,506,498,502,501,499
0.7,1.22,1000,503,508,502,506,512,495
0.7,1.22,1000,502,500,491,485,501,490
0.7,1.22,1000,502,500,495,497,489,501
0.7,1.22,1000,494,492,500,496,508,497
0.7,1.22,1000,493,494,472,473,478,482
0.7,1.22,1000,499,498,491,493,489,497
0.7,1.22,1000,500,497,496,492,499,494
0.7,1.22,1000,497,495,500,496,502,499
0.7,1.22,1000,495,500,494,498,490,515
0.7,1.22,1000,504,496,500,498,506,502
0.7,1.22,1000,502,499,501,500,508,506
0.7,1.22,1000,495,501,498,500,499,494
0.7,1.22,1000,492,506,497,505,491,503
0.7,1.22,1000,502,503,500,985,36,73
0.7,1.22,1000,500,495,499,493,498,497
0.7,1.22,1000,501,502,496,505,503,497
0.7,1.22,1000,488,485,487,491,481,146
0.7,1.22,1000,500,499,504,503,507,505
0.7,1.22,1000,500,503,505,498,491,499
0.7,1.22,1000,499,500,494,497,496,501
0.7,1.22,1000,482,480,488,485,495,483
0.7,1.22,1000,508,493,503,490,509,480
0.7,1.22,1000,492,518,520,485,478,510
0.7,1.22,1000,503,505,498,499,504,508
0.7,1.22,1000,941,498,764,956,760,942
0.7,1.22,1000,510,507,501,498,504,499
0.7,1.22,1000,502,500,499,501,505,498
0.7,1.22,1000,504,470,450,463,477,498
0.7,1.22,1000,512,499,511,510,507,508
0.7,1.22,1000,477,475,479,484,490,472
0.7,1.22,1000,511,509,507,499,490,494
0.7,1.22,1000,514,513,515,504,516,525
0.7,1.22,1000,509,511,500,507,491,514
0.7,1.22,1000,541,534,538,523,550,535
0.7,1.22,1000,501,502,498,499,485,490
0.7,1.22,1000,498,496,497,499,502,493
0.7,1.22,1000,517,528,516,505,504,526
0.7,1.22,1000,503,500,506,498,514,505
0.7,1.22,1000,500,499,497,502,501,521
0.7,1.22,1000,505,496,146,500,508,147
0.7,1.22,1000,481,499,483,496,513,519
0.7,1.22,1000,504,501,489,500,506,511
0.7,1.22,1000,501,489,498,483,503,499
0.7,1.22,1000,494,493,500,499,532,489
0.7,1.22,1000,493,507,501,490,502,495
0.7,1.22,1000,501,506,507,498,503,494
0.7,1.22,1000,495,505,491,504,499,492
0.7,1.22,1000,500,509,496,503,493,507
0.7,1.22,1000,502,501,508,506,505,500
0.7,1.22,1000,494,493,496,497,488,492
0.7,1.22,1000,501,484,500,499,490,487
0.7,1.22,1000,498,497,499,496,494,502
0.7,1.22,1000,503,501,510,499,500,498
0.7,1.22,1000,500,499,501,496,508,493
0.7,1.22,1000,502,518,503,500,504,522
0.7,1.22,1000,499,505,500,501,315,317
0.7,1.22,1000,500,499,504,6,502,494
0.7,1.22,1000,499,493,500,506,492,497
0.7,1.22,1000,506,496,499,504,503,508
0.7,1.22,1000,503,500,516,508,507,497
0.7,1.22,1000,509,513,508,497,514,999
0.7,1.22,1000,509,507,504,511,500,510
0.7,1.22,1000,505,498,500,502,503,499
0.7,1.22,1000,492,497,498,499,488,511
0.7,1.22,1000,491,492,493,498,487,490
0.7,1.22,1000,498,500,497,509,515,483
0.7,1.22,1000,501,492,499,500,496,498
0.7,1.22,1000,503,510,509,505,498,500
0.7,1.22,1000,501,500,506,505,499,504
0.7,1.22,1000,495,474,473,475,465,500
0.7,1.22,1000,482,495,490,499,483,498
0.7,1.22,1000,506,513,499,507,509,504
0.7,1.22,1000,500,498,497,489,501,493
0.7,1.22,1000,970,491,513,512,516,485
0.7,1.22,1000,494,497,498,496,488,500
0.7,1.22,1000,503,500,505,501,506,499
0.7,1.22,1000,500,499,1,4,9,2
0.7,1.22,1000,516,520,513,514,527,512
0.7,1.22,1000,516,513,502,490,514,497
0.7,1.22,1000,523,521,522,527,524,526
0.7,1.22,1000,501,499,497,500,871,877
0.7,1.22,1000,495,497,504,501,503,502
0.7,1.22,1000,490,475,494,486,493,481
0.7,1.22,1000,484,481,500,502,495,477
0.7,1.22,1000,488,472,473,474,479,497
0.7,1.22,1000,501,495,506,500,510,508
0.7,1.22,1000,521,503,508,509,511,485
0.7,1.22,1000,503,489,501,487,499,498
0.7,1.22,1000,471,481,491,500,470,489
0.7,1.22,1000,501,498,504,505,499,493
0.7,1.22,1000,500,496,504,510,487,502
0.7,1.22,1000,480,482,478,479,481,500
0.7,1.22,1000,500,499,497,501,508,516
0.7,1.22,1000,496,493,498,497,495,489
0.7,1.22,1000,509,499,514,500,503,504
