"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,0.71,1000,460,436,461,452,445,464
0.7,0.71,1000,516,513,599,537,508,524
0.7,0.71,1000,508,518,517,520,516,484
0.7,0.71,1000,515,529,501,514,503,519
0.7,0.71,1000,425,430,432,448,426,421
0.7,0.71,1000,499,507,503,511,505,531
0.7,0.71,1000,499,485,502,504,484,491
0.7,0.71,1000,524,509,503,500,521,526
0.7,0.71,1000,625,612,627,672,619,496
0.7,0.71,1000,472,471,462,488,459,466
0.7,0.71,1000,497,513,476,470,503,489
0.7,0.71,1000,510,522,508,525,524,529
0.7,0.71,1000,498,502,501,499,489,486
0.7,0.71,1000,502,504,494,501,500,492
0.7,0.71,1000,595,594,593,592,603,607
0.7,0.71,1000,497,502,495,499,516,503
0.7,0.71,1000,508,526,514,512,513,522
0.7,0.71,1000,502,498,501,500,503,497
0.7,0.71,1000,489,477,475,483,499,515
0.7,0.71,1000,536,525,528,526,524,529
0.7,0.71,1000,503,504,507,495,511,355
0.7,0.71,1000,502,501,503,477,506,507
0.7,0.71,1000,585,588,591,589,597,554
0.7,0.71,1000,498,496,488,493,516,491
0.7,0.71,1000,495,517,492,527,516,491
0.7,0.71,1000,506,485,500,493,516,504
0.7,0.71,1000,502,489,504,503,510,506
0.7,0.71,1000,500,501,524,495,546,498
0.7,0.71,1000,507,479,484,494,477,505
0.7,0.71,1000,496,514,515,518,519,517
0.7,0.71,1000,459,519,499,490,517,516
0.7,0.71,1000,498,502,452,474,536,453
0.7,0.71,1000,479,475,480,473,474,476
0.7,0.71,1000,414,492,417,495,434,415
0.7,0.71,1000,494,499,496,495,478,482
0.7,0.71,1000,491,490,40,423,501,519
0.7,0.71,1000,482,500,524,459,478,497
0.7,0.71,1000,517,505,503,504,496,518
0.7,0.71,1000,494,500,496,501,483,503
0.7,0.71,1000,457,534,456,448,498,511
0.7,0.71,1000,518,517,519,499,516,515
0.7,0.71,1000,505,503,504,502,497,499
0.7,0.71,1000,498,502,500,503,506,512
0.7,0.71,1000,485,503,497,504,516,494
0.7,0.71,1000,483,499,484,477,480,504
0.7,0.71,1000,543,513,499,538,521,493
0.7,0.71,1000,537,514,538,536,540,495
0.7,0.71,1000,494,504,487,531,499,505
0.7,0.71,1000,502,498,501,500,506,517
0.7,0.71,1000,486,497,506,494,496,488
0.7,0.71,1000,494,501,492,508,493,14
0.7,0.71,1000,472,483,501,476,477,479
0.7,0.71,1000,468,459,479,467,482,466
0.7,0.71,1000,500,545,496,519,497,523
0.7,0.71,1000,489,491,494,512,485,447
0.7,0.71,1000,514,488,502,500,511,498
0.7,0.71,1000,588,485,578,512,514,568
0.7,0.71,1000,500,501,523,498,518,502
0.7,0.71,1000,425,370,432,368,490,367
0.7,0.71,1000,528,525,512,518,507,515
0.7,0.71,1000,480,492,496,499,487,482
0.7,0.71,1000,291,314,293,297,351,350
0.7,0.71,1000,448,449,446,443,444,447
0.7,0.71,1000,485,503,530,511,524,525
0.7,0.71,1000,513,524,534,515,520,541
0.7,0.71,1000,493,503,504,511,502,516
0.7,0.71,1000,518,505,513,500,512,502
0.7,0.71,1000,525,522,531,512,434,479
0.7,0.71,1000,471,453,452,459,467,983
0.7,0.71,1000,520,568,494,495,567,564
0.7,0.71,1000,485,482,496,514,501,494
0.7,0.71,1000,532,534,527,525,516,531
0.7,0.71,1000,521,493,505,508,527,495
0.7,0.71,1000,506,508,507,495,505,493
0.7,0.71,1000,544,541,539,504,543,527
0.7,0.71,1000,494,493,482,485,491,492
0.7,0.71,1000,498,499,491,502,496,505
0.7,0.71,1000,452,471,570,483,454,543
0.7,0.71,1000,523,531,498,526,483,442
0.7,0.71,1000,502,499,492,487,501,503
0.7,0.71,1000,522,520,521,938,942,673
0.7,0.71,1000,489,467,442,427,490,428
0.7,0.71,1000,497,508,524,528,498,499
0.7,0.71,1000,503,615,593,613,499,584
0.7,0.71,1000,542,539,497,478,481,550
0.7,0.71,1000,4,44,46,45,462,47
0.7,0.71,1000,486,505,506,497,500,999
0.7,0.71,1000,499,500,496,501,522,530
0.7,0.71,1000,500,499,509,567,501,510
0.7,0.71,1000,491,467,469,478,461,489
0.7,0.71,1000,628,613,616,629,627,594
0.7,0.71,1000,458,478,460,510,499,470
0.7,0.71,1000,532,523,536,493,496,492
0.7,0.71,1000,507,495,502,505,453,518
0.7,0.71,1000,504,499,501,498,503,505
0.7,0.71,1000,524,510,471,473,499,485
0.7,0.71,1000,499,489,498,487,488,490
0.7,0.71,1000,500,499,498,497,503,509
0.7,0.71,1000,508,484,495,507,494,509
0.7,0.71,1000,419,420,409,415,417,416
0.7,0.71,1000,552,538,499,498,502,519
0.7,0.71,1000,527,519,521,514,508,513
0.7,0.71,1000,501,544,545,547,496,500
0.7,0.71,1000,486,491,484,478,492,483
0.7,0.71,1000,525,496,503,529,528,536
0.7,0.71,1000,507,484,539,485,474,510
0.7,0.71,1000,506,515,502,495,491,523
0.7,0.71,1000,501,505,507,457,494,503
0.7,0.71,1000,498,495,489,499,492,558
0.7,0.71,1000,536,540,533,539,530,541
0.7,0.71,1000,532,534,531,533,529,526
0.7,0.71,1000,503,499,500,505,501,502
0.7,0.71,1000,501,495,502,497,503,941
0.7,0.71,1000,496,499,507,510,498,509
0.7,0.71,1000,318,332,333,322,337,330
0.7,0.71,1000,494,497,506,501,487,507
0.7,0.71,1000,475,476,480,502,455,512
0.7,0.71,1000,499,497,498,500,528,502
0.7,0.71,1000,517,519,501,531,522,518
0.7,0.71,1000,498,501,502,500,499,491
0.7,0.71,1000,509,501,511,485,512,514
0.7,0.71,1000,499,501,990,505,506,495
0.7,0.71,1000,513,512,495,502,508,493
0.7,0.71,1000,388,417,389,488,415,484
0.7,0.71,1000,498,569,518,524,542,590
0.7,0.71,1000,519,502,500,531,516,528
0.7,0.71,1000,514,516,567,565,517,515
0.7,0.71,1000,503,454,493,502,499,498
0.7,0.71,1000,477,487,480,484,496,467
0.7,0.71,1000,470,472,463,480,484,458
0.7,0.71,1000,501,495,998,430,473,469
0.7,0.71,1000,497,546,551,545,553,505
0.7,0.71,1000,330,317,328,316,480,293
0.7,0.71,1000,501,495,498,517,492,497
0.7,0.71,1000,398,403,406,409,399,402
0.7,0.71,1000,486,495,493,491,496,487
0.7,0.71,1000,526,539,535,547,465,528
0.7,0.71,1000,497,472,477,470,495,479
0.7,0.71,1000,495,510,511,507,496,504
0.7,0.71,1000,497,504,502,505,496,521
0.7,0.71,1000,998,999,426,487,423,465
0.7,0.71,1000,514,515,511,510,509,513
0.7,0.71,1000,495,496,469,491,481,493
0.7,0.71,1000,506,505,510,503,492,508
0.7,0.71,1000,490,493,489,486,488,500
0.7,0.71,1000,499,517,500,518,494,496
0.7,0.71,1000,498,496,495,507,493,506
0.7,0.71,1000,501,507,505,509,489,487
0.7,0.71,1000,461,456,462,470,464,499
0.7,0.71,1000,500,503,506,507,521,499
0.7,0.71,1000,515,508,507,502,503,491
0.7,0.71,1000,523,503,486,519,512,510
0.7,0.71,1000,528,523,496,504,524,531
0.7,0.71,1000,503,517,510,506,504,528
0.7,0.71,1000,517,519,518,516,502,512
0.7,0.71,1000,500,647,496,502,486,499
0.7,0.71,1000,503,499,525,506,495,533
0.7,0.71,1000,572,952,568,569,506,570
0.7,0.71,1000,357,361,359,360,358,362
0.7,0.71,1000,791,509,508,792,749,743
0.7,0.71,1000,486,493,484,481,476,480
0.7,0.71,1000,509,513,494,506,499,520
0.7,0.71,1000,697,674,729,500,509,666
0.7,0.71,1000,504,498,505,509,511,497
0.7,0.71,1000,534,533,535,527,531,560
0.7,0.71,1000,441,447,463,460,446,462
0.7,0.71,1000,498,302,763,513,527,396
0.7,0.71,1000,498,514,517,501,510,508
0.7,0.71,1000,377,406,376,423,397,447
0.7,0.71,1000,479,478,477,481,487,476
0.7,0.71,1000,485,481,470,483,503,494
0.7,0.71,1000,502,510,483,489,446,500
0.7,0.71,1000,502,511,494,509,512,491
0.7,0.71,1000,507,509,498,506,508,501
0.7,0.71,1000,488,486,499,501,490,506
0.7,0.71,1000,512,510,516,522,517,505
0.7,0.71,1000,509,506,498,508,507,510
0.7,0.71,1000,398,401,397,405,399,403
0.7,0.71,1000,551,556,561,584,552,566
0.7,0.71,1000,501,505,511,507,506,533
0.7,0.71,1000,504,505,512,510,478,494
0.7,0.71,1000,487,395,491,492,399,488
0.7,0.71,1000,479,477,466,491,495,459
0.7,0.71,1000,561,560,571,563,567,564
0.7,0.71,1000,511,520,510,501,490,484
0.7,0.71,1000,533,536,513,546,532,6
0.7,0.71,1000,497,492,500,504,505,502
0.7,0.71,1000,179,180,494,493,501,178
0.7,0.71,1000,471,472,490,488,491,475
0.7,0.71,1000,475,446,474,461,431,437
0.7,0.71,1000,502,514,537,513,507,509
0.7,0.71,1000,473,481,490,479,498,496
0.7,0.71,1000,525,501,505,527,526,540
0.7,0.71,1000,546,514,529,526,535,555
0.7,0.71,1000,515,516,517,520,545,498
0.7,0.71,1000,549,548,566,550,547,556
0.7,0.71,1000,500,498,494,506,496,470
