"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0,3.52,1000,500,336,494,498,1,2
0,3.52,1000,500,502,499,494,493,495
0,3.52,1000,500,2,1,3,4,5
0,3.52,1000,500,497,498,501,499,1
0,3.52,1000,498,1,990,991,2,992
0,3.52,1000,501,500,495,499,493,497
0,3.52,1000,500,999,477,479,503,995
0,3.52,1000,500,501,499,497,444,466
0,3.52,1000,504,500,501,503,505,499
0,3.52,1000,500,995,1,2,992,994
0,3.52,1000,500,1,4,999,2,3
0,3.52,1000,500,498,497,3,501,1
0,3.52,1000,500,499,501,998,498,502
0,3.52,1000,500,499,498,501,502,2
0,3.52,1000,500,499,999,2,501,1
0,3.52,1000,500,499,997,999,998,996
0,3.52,1000,499,500,999,503,504,508
0,3.52,1000,500,498,503,554,881,1
0,3.52,1000,501,500,3,13,24,926
0,3.52,1000,499,500,498,497,3,502
0,3.52,1000,500,498,499,494,497,501
0,3.52,1000,501,500,499,503,1,498
0,3.52,1000,500,501,502,10,499,996
0,3.52,1000,500,499,498,999,994,997
0,3.52,1000,500,6,998,999,1,4
0,3.52,1000,500,499,501,502,503,1
0,3.52,1000,502,500,501,999,1,2
0,3.52,1000,500,506,502,508,509,510
0,3.52,1000,498,1,2,3,4,5
0,3.52,1000,499,1,2,3,4,5
0,3.52,1000,500,501,505,499,506,1
0,3.52,1000,499,500,498,496,997,996
0,3.52,1000,501,500,502,499,503,498
0,3.52,1000,500,496,998,1,2,3
0,3.52,1000,499,4,5,1,2,3
0,3.52,1000,501,500,999,1,2,3
0,3.52,1000,500,499,501,3,502,1
0,3.52,1000,499,4,5,1,2,3
0,3.52,1000,500,501,502,499,1,2
0,3.52,1000,499,496,996,1,2,3
0,3.52,1000,499,501,1,2,3,4
0,3.52,1000,501,500,998,497,499,1
0,3.52,1000,501,500,497,494,498,2
0,3.52,1000,500,501,3,5,498,499
0,3.52,1000,500,498,2,501,502,999
0,3.52,1000,497,500,496,501,1,7
0,3.52,1000,497,500,1,2,3,4
0,3.52,1000,500,499,495,744,1,2
0,3.52,1000,501,499,500,1,2,3
0,3.52,1000,500,1,498,2,3,4
0,3.52,1000,503,500,502,2,507,1
0,3.52,1000,500,498,499,490,4,491
0,3.52,1000,500,2,501,504,1,3
0,3.52,1000,500,501,502,999,499,1
0,3.52,1000,500,499,2,1,3,4
0,3.52,1000,499,314,998,2,308,322
0,3.52,1000,500,498,993,991,1,143
0,3.52,1000,499,999,998,502,1,2
0,3.52,1000,499,498,998,1,2,3
0,3.52,1000,499,500,503,1,2,3
0,3.52,1000,504,500,501,505,502,996
0,3.52,1000,499,495,496,999,998,1
0,3.52,1000,500,998,1,5,497,992
0,3.52,1000,500,501,505,502,519,506
0,3.52,1000,501,500,25,26,1,11
0,3.52,1000,500,2,8,5,7,999
0,3.52,1000,500,1,2,3,6,630
0,3.52,1000,500,504,501,503,2,999
0,3.52,1000,500,995,997,998,992,994
0,3.52,1000,499,497,496,1,2,3
0,3.52,1000,501,500,499,502,498,496
0,3.52,1000,500,503,502,501,998,1
0,3.52,1000,500,503,501,504,502,1
0,3.52,1000,500,499,1,2,497,501
0,3.52,1000,500,501,998,996,2,5
0,3.52,1000,500,501,2,1,72,78
0,3.52,1000,499,998,1,2,3,4
0,3.52,1000,498,501,499,503,1,2
0,3.52,1000,500,498,497,499,496,501
0,3.52,1000,500,2,498,1,3,497
0,3.52,1000,497,498,499,1,522,959
0,3.52,1000,500,493,498,999,1,2
0,3.52,1000,500,493,495,1,2,3
0,3.52,1000,500,499,998,997,996,995
0,3.52,1000,500,499,496,998,497,997
0,3.52,1000,500,999,1,599,926,949
0,3.52,1000,500,499,501,503,569,999
0,3.52,1000,500,504,2,3,498,994
0,3.52,1000,502,500,496,501,495,4
0,3.52,1000,500,501,9,2,4,5
0,3.52,1000,499,500,498,497,997,999
0,3.52,1000,499,4,1,2,6,497
0,3.52,1000,500,501,1,2,3,4
0,3.52,1000,499,500,498,2,1,3
0,3.52,1000,500,3,448,498,499,1
0,3.52,1000,497,499,496,495,492,724
0,3.52,1000,501,499,905,1,492,502
0,3.52,1000,499,498,1,2,3,4
0,3.52,1000,500,499,502,990,503,992
0,3.52,1000,499,999,498,1,2,3
0,3.52,1000,500,501,503,5,1,2
0,3.52,1000,500,501,499,498,2,1
0,3.52,1000,500,8,1,4,5,9
0,3.52,1000,500,996,997,1,2,3
0,3.52,1000,501,499,500,504,505,496
0,3.52,1000,500,501,499,498,502,4
0,3.52,1000,499,498,22,1,2,3
0,3.52,1000,500,1,2,3,4,5
0,3.52,1000,500,501,499,999,1,2
0,3.52,1000,500,499,504,3,5,999
0,3.52,1000,500,501,3,999,1,2
0,3.52,1000,500,501,499,2,1,3
0,3.52,1000,499,497,496,1,2,3
0,3.52,1000,500,498,501,999,2,491
0,3.52,1000,500,499,502,501,4,488
0,3.52,1000,500,995,996,1,2,3
0,3.52,1000,499,503,1,2,3,4
0,3.52,1000,500,499,2,3,6,999
0,3.52,1000,500,1,998,2,3,4
0,3.52,1000,497,499,997,999,1,998
0,3.52,1000,502,285,997,1,2,3
0,3.52,1000,499,997,1,996,3,998
0,3.52,1000,499,500,6,5,995,10
0,3.52,1000,499,500,501,502,504,48
0,3.52,1000,501,500,499,1,2,3
0,3.52,1000,498,502,499,3,2,5
0,3.52,1000,500,503,998,999,1,2
0,3.52,1000,501,503,500,502,504,3
0,3.52,1000,498,500,499,1,999,2
0,3.52,1000,500,999,2,1,3,4
0,3.52,1000,499,3,496,1,2,4
0,3.52,1000,500,499,1,2,3,4
0,3.52,1000,499,497,7,9,501,1
0,3.52,1000,497,498,499,3,4,2
0,3.52,1000,501,493,495,1,2,3
0,3.52,1000,500,502,497,499,1,2
0,3.52,1000,498,4,7,8,497,1
0,3.52,1000,499,500,1,2,3,4
0,3.52,1000,500,501,505,498,3,5
0,3.52,1000,501,504,65,999,1,2
0,3.52,1000,500,999,1,2,3,4
0,3.52,1000,500,501,499,498,3,497
0,3.52,1000,499,999,1,2,3,4
0,3.52,1000,499,500,919,931,938,945
0,3.52,1000,499,500,505,498,1,2
0,3.52,1000,498,500,497,496,1,502
0,3.52,1000,499,501,500,505,2,509
0,3.52,1000,500,501,1,2,3,4
0,3.52,1000,499,500,498,575,620,991
0,3.52,1000,499,1,2,496,999,3
0,3.52,1000,498,497,499,500,495,998
0,3.52,1000,500,501,1,2,3,4
0,3.52,1000,500,3,999,1,2,4
0,3.52,1000,499,2,1,3,4,5
0,3.52,1000,500,502,499,501,2,1
0,3.52,1000,500,999,1,2,3,4
0,3.52,1000,500,502,501,495,498,494
0,3.52,1000,505,509,499,500,504,510
0,3.52,1000,500,504,2,1,3,4
0,3.52,1000,500,2,1,3,4,5
0,3.52,1000,500,498,2,999,1,3
0,3.52,1000,500,501,2,996,997,1
0,3.52,1000,500,1,497,498,999,2
0,3.52,1000,500,499,998,997,1,2
0,3.52,1000,500,499,498,501,1,2
0,3.52,1000,499,500,1,2,3,4
0,3.52,1000,502,501,503,499,495,504
0,3.52,1000,500,501,499,506,999,497
0,3.52,1000,500,999,1,2,3,4
0,3.52,1000,500,488,490,999,1,2
0,3.52,1000,501,500,1,2,3,4
0,3.52,1000,499,502,1,2,3,4
0,3.52,1000,500,499,998,3,495,497
0,3.52,1000,500,498,495,997,998,496
0,3.52,1000,501,500,999,2,3,6
0,3.52,1000,500,499,682,979,985,989
0,3.52,1000,500,501,502,3,499,8
0,3.52,1000,500,1,4,498,999,2
0,3.52,1000,500,501,940,938,945,946
0,3.52,1000,499,500,501,502,503,504
0,3.52,1000,500,501,499,1,2,3
0,3.52,1000,500,498,1,2,3,4
0,3.52,1000,500,502,499,501,498,1
0,3.52,1000,499,998,498,502,1,2
0,3.52,1000,500,496,499,998,997,1
0,3.52,1000,500,2,497,501,1,3
0,3.52,1000,500,2,493,496,498,1
0,3.52,1000,500,499,997,999,1,2
0,3.52,1000,499,501,2,495,1,3
0,3.52,1000,500,498,1,2,494,999
0,3.52,1000,502,501,500,5,507,1
0,3.52,1000,500,501,496,1,3,499
0,3.52,1000,498,502,499,500,493,999
0,3.52,1000,498,500,499,501,661,999
0,3.52,1000,499,498,501,997,999,1
0,3.52,1000,500,502,1,2,3,4
0,3.52,1000,500,501,2,999,1,3
0,3.52,1000,500,1,5,501,507,2
0,3.52,1000,500,501,502,504,253,252
0,3.52,1000,501,500,5,3,1,2
0,3.52,1000,501,502,500,497,498,491
0,3.52,1000,501,500,499,496,502,504
