"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,6,1000,499,501,999,498,504,505
0.7,6,1000,501,500,1,655,656,327
0.7,6,1000,499,497,500,496,43,52
0.7,6,1000,500,499,503,494,999,1
0.7,6,1000,500,502,501,360,999,1
0.7,6,1000,498,499,500,497,2,236
0.7,6,1000,500,499,498,496,503,494
0.7,6,1000,500,499,1,3,509,2
0.7,6,1000,500,206,1,2,3,4
0.7,6,1000,499,500,501,436,441,437
0.7,6,1000,500,4,501,1,2,3
0.7,6,1000,501,499,500,877,502,515
0.7,6,1000,500,1,2,999,3,4
0.7,6,1000,503,504,500,505,999,1
0.7,6,1000,499,254,998,265,1,2
0.7,6,1000,500,501,93,996,97,192
0.7,6,1000,500,499,501,1,498,997
0.7,6,1000,501,64,242,263,279,283
0.7,6,1000,500,499,4,998,997,2
0.7,6,1000,500,501,502,495,496,498
0.7,6,1000,500,498,4,249,259,263
0.7,6,1000,500,499,5,282,1,2
0.7,6,1000,500,1,308,2,3,4
0.7,6,1000,500,499,498,496,1,2
0.7,6,1000,502,501,499,999,1,963
0.7,6,1000,501,500,504,312,85,138
0.7,6,1000,500,556,2,547,549,551
0.7,6,1000,501,502,498,499,503,505
0.7,6,1000,498,500,998,999,995,3
0.7,6,1000,500,499,53,54,502,52
0.7,6,1000,500,499,502,496,501,497
0.7,6,1000,501,500,1,2,3,4
0.7,6,1000,501,2,3,107,129,773
0.7,6,1000,501,2,499,3,497,502
0.7,6,1000,501,500,635,621,632,617
0.7,6,1000,500,501,498,663,714,752
0.7,6,1000,500,499,498,501,1,4
0.7,6,1000,500,501,499,1,631,999
0.7,6,1000,500,995,499,495,993,994
0.7,6,1000,500,499,999,13,501,502
0.7,6,1000,500,501,499,130,134,143
0.7,6,1000,500,900,999,5,6,8
0.7,6,1000,501,995,996,997,649,793
0.7,6,1000,499,895,894,891,890,888
0.7,6,1000,499,498,999,189,994,1
0.7,6,1000,500,499,498,1,51,99
0.7,6,1000,499,4,5,497,2,3
0.7,6,1000,498,500,1,146,148,560
0.7,6,1000,500,501,499,232,234,281
0.7,6,1000,500,1,3,381,908,934
0.7,6,1000,500,501,499,498,1,505
0.7,6,1000,500,37,125,127,135,721
0.7,6,1000,498,500,499,501,1,490
0.7,6,1000,501,500,499,497,1,999
0.7,6,1000,500,501,1,211,499,932
0.7,6,1000,500,153,178,997,1,2
0.7,6,1000,500,999,496,499,1,2
0.7,6,1000,501,500,502,999,1,2
0.7,6,1000,500,998,2,504,1,3
0.7,6,1000,499,501,498,999,1,178
0.7,6,1000,499,501,6,7,2,8
0.7,6,1000,500,499,495,503,998,1
0.7,6,1000,499,500,498,2,96,995
0.7,6,1000,499,501,494,503,1,2
0.7,6,1000,500,2,496,501,1,3
0.7,6,1000,500,2,1,6,3,7
0.7,6,1000,500,501,499,2,498,996
0.7,6,1000,500,2,702,994,995,996
0.7,6,1000,500,501,496,498,1,2
0.7,6,1000,500,499,497,502,671,675
0.7,6,1000,501,500,497,499,496,14
0.7,6,1000,499,500,7,2,5,6
0.7,6,1000,499,501,996,999,1,2
0.7,6,1000,501,502,500,496,498,499
0.7,6,1000,499,500,497,496,501,503
0.7,6,1000,499,61,41,50,35,49
0.7,6,1000,500,1,102,105,501,998
0.7,6,1000,500,497,991,499,994,1
0.7,6,1000,502,503,501,504,1,498
0.7,6,1000,500,502,505,499,32,1
0.7,6,1000,500,4,1,250,712,739
0.7,6,1000,501,445,451,1,5,105
0.7,6,1000,500,993,195,501,989,1
0.7,6,1000,500,502,627,1,2,3
0.7,6,1000,500,995,996,1,2,5
0.7,6,1000,500,499,498,1,305,998
0.7,6,1000,500,505,504,501,503,502
0.7,6,1000,500,498,4,5,459,1
0.7,6,1000,500,499,498,1,107,789
0.7,6,1000,500,5,21,118,1,2
0.7,6,1000,500,502,999,1,2,3
