"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.3,2.07,1000,501,498,502,497,542,546
0.3,2.07,1000,500,496,494,501,502,646
0.3,2.07,1000,500,494,497,495,499,498
0.3,2.07,1000,499,498,497,502,537,585
0.3,2.07,1000,500,502,3,7,370,392
0.3,2.07,1000,500,499,494,502,2,4
0.3,2.07,1000,500,501,499,503,1,4
0.3,2.07,1000,500,499,502,503,497,997
0.3,2.07,1000,500,501,499,505,506,502
0.3,2.07,1000,499,490,2,72,509,1
0.3,2.07,1000,500,498,499,501,350,351
0.3,2.07,1000,500,499,517,365,526,532
0.3,2.07,1000,500,501,503,497,499,504
0.3,2.07,1000,498,500,492,493,501,499
0.3,2.07,1000,502,500,993,991,992,994
0.3,2.07,1000,502,501,2,3,500,498
0.3,2.07,1000,505,501,508,499,502,507
0.3,2.07,1000,500,501,502,495,996,998
0.3,2.07,1000,501,507,503,502,511,499
0.3,2.07,1000,502,504,497,503,500,498
0.3,2.07,1000,500,499,501,5,4,6
0.3,2.07,1000,500,501,503,659,679,993
0.3,2.07,1000,500,504,505,506,501,499
0.3,2.07,1000,501,502,499,500,998,994
0.3,2.07,1000,500,497,499,506,3,141
0.3,2.07,1000,503,501,500,499,502,221
0.3,2.07,1000,500,502,468,484,507,914
0.3,2.07,1000,501,499,498,503,500,486
0.3,2.07,1000,495,497,494,492,496,507
0.3,2.07,1000,505,498,497,499,500,493
0.3,2.07,1000,501,497,495,502,503,499
0.3,2.07,1000,488,489,491,494,492,499
0.3,2.07,1000,506,505,500,501,1,3
0.3,2.07,1000,498,502,503,504,501,494
0.3,2.07,1000,500,498,496,499,497,495
0.3,2.07,1000,498,500,5,6,503,7
0.3,2.07,1000,500,499,507,501,503,516
0.3,2.07,1000,500,508,499,502,506,973
0.3,2.07,1000,499,3,13,14,1,4
0.3,2.07,1000,499,497,496,498,502,501
0.3,2.07,1000,495,493,501,499,494,497
0.3,2.07,1000,500,498,502,499,1,119
0.3,2.07,1000,498,500,494,495,496,491
0.3,2.07,1000,499,504,500,492,502,497
0.3,2.07,1000,500,506,501,261,5,14
0.3,2.07,1000,505,501,3,5,6,7
0.3,2.07,1000,500,499,503,502,501,497
0.3,2.07,1000,500,499,503,502,999,1
0.3,2.07,1000,500,498,4,14,17,456
0.3,2.07,1000,499,501,500,498,505,503
0.3,2.07,1000,501,499,500,505,504,506
0.3,2.07,1000,499,501,498,500,504,497
0.3,2.07,1000,500,499,498,16,493,496
0.3,2.07,1000,501,502,7,6,14,2
0.3,2.07,1000,498,500,499,501,497,503
0.3,2.07,1000,499,500,511,505,504,2
0.3,2.07,1000,500,496,499,501,495,502
0.3,2.07,1000,498,497,500,496,499,504
0.3,2.07,1000,502,499,497,496,997,482
0.3,2.07,1000,500,503,507,3,1,40
0.3,2.07,1000,500,501,499,502,498,503
0.3,2.07,1000,500,502,499,497,495,505
0.3,2.07,1000,498,499,497,500,501,17
0.3,2.07,1000,499,498,500,505,497,503
0.3,2.07,1000,499,500,497,296,498,240
0.3,2.07,1000,502,495,503,2,3,4
0.3,2.07,1000,498,502,500,19,8,17
0.3,2.07,1000,500,149,129,132,136,138
0.3,2.07,1000,499,493,498,497,496,6
0.3,2.07,1000,500,498,504,499,54,92
0.3,2.07,1000,499,497,500,501,502,498
0.3,2.07,1000,497,500,499,496,498,2
0.3,2.07,1000,501,499,498,503,530,529
0.3,2.07,1000,499,498,500,494,497,493
0.3,2.07,1000,499,500,294,356,377,387
0.3,2.07,1000,500,502,504,506,2,1
0.3,2.07,1000,503,500,504,505,499,998
0.3,2.07,1000,500,498,998,996,995,997
0.3,2.07,1000,495,501,498,497,500,499
0.3,2.07,1000,507,505,500,508,509,491
0.3,2.07,1000,503,501,498,172,178,176
0.3,2.07,1000,500,1,13,2,511,3
0.3,2.07,1000,500,2,3,499,4,5
0.3,2.07,1000,495,503,500,506,502,497
0.3,2.07,1000,498,499,54,494,497,55
0.3,2.07,1000,501,502,987,988,989,997
0.3,2.07,1000,494,499,497,495,493,490
0.3,2.07,1000,498,313,328,435,474,475
0.3,2.07,1000,499,500,501,999,1,2
0.3,2.07,1000,499,498,999,497,496,996
0.3,2.07,1000,500,501,503,496,495,2
0.3,2.07,1000,500,501,499,502,5,497
0.3,2.07,1000,499,498,496,501,497,500
0.3,2.07,1000,502,501,499,500,503,2
0.3,2.07,1000,496,500,505,498,501,495
0.3,2.07,1000,499,501,498,502,500,469
0.3,2.07,1000,502,6,630,626,629,635
0.3,2.07,1000,500,499,502,501,508,503
0.3,2.07,1000,506,504,509,499,505,510
0.3,2.07,1000,499,497,498,472,606,635
0.3,2.07,1000,500,501,994,993,996,997
0.3,2.07,1000,500,496,498,1,495,603
0.3,2.07,1000,500,508,507,499,506,505
0.3,2.07,1000,500,998,997,996,499,989
0.3,2.07,1000,499,497,500,496,491,183
0.3,2.07,1000,501,499,500,505,503,507
0.3,2.07,1000,500,4,3,478,493,494
0.3,2.07,1000,500,1,46,90,194,200
0.3,2.07,1000,499,502,487,500,504,486
0.3,2.07,1000,500,502,501,503,504,505
0.3,2.07,1000,505,506,504,502,500,497
0.3,2.07,1000,498,500,499,492,496,503
0.3,2.07,1000,500,1,18,35,317,427
0.3,2.07,1000,498,502,503,497,495,504
0.3,2.07,1000,500,498,497,495,501,799
0.3,2.07,1000,499,503,500,497,502,504
0.3,2.07,1000,499,498,497,501,3,2
0.3,2.07,1000,497,499,498,501,502,999
0.3,2.07,1000,499,500,495,494,501,496
0.3,2.07,1000,497,501,500,509,4,502
0.3,2.07,1000,500,499,497,2,3,78
0.3,2.07,1000,500,492,501,488,487,506
0.3,2.07,1000,502,499,497,500,4,495
0.3,2.07,1000,501,500,414,3,6,2
0.3,2.07,1000,496,499,498,502,491,495
0.3,2.07,1000,500,499,501,509,497,502
0.3,2.07,1000,500,498,499,497,1,2
0.3,2.07,1000,499,501,504,497,6,495
0.3,2.07,1000,500,9,52,692,939,943
0.3,2.07,1000,501,500,2,4,13,332
0.3,2.07,1000,499,502,498,1,299,422
0.3,2.07,1000,499,498,488,487,484,485
0.3,2.07,1000,500,501,502,8,21,1
0.3,2.07,1000,500,503,502,498,991,501
0.3,2.07,1000,500,499,501,670,496,667
0.3,2.07,1000,500,502,199,200,209,211
0.3,2.07,1000,501,500,498,503,499,497
0.3,2.07,1000,498,501,503,2,502,999
0.3,2.07,1000,503,500,499,504,501,498
0.3,2.07,1000,502,504,498,499,501,500
0.3,2.07,1000,501,504,499,505,507,500
0.3,2.07,1000,500,504,499,502,1,2
0.3,2.07,1000,500,499,501,502,1,506
0.3,2.07,1000,496,497,504,500,493,9
0.3,2.07,1000,505,503,501,502,500,497
0.3,2.07,1000,502,500,494,503,492,497
0.3,2.07,1000,498,1,3,447,997,998
0.3,2.07,1000,501,500,123,154,414,1
0.3,2.07,1000,497,997,996,995,499,991
0.3,2.07,1000,500,502,498,3,94,99
0.3,2.07,1000,499,500,496,501,497,495
0.3,2.07,1000,500,501,502,505,504,503
0.3,2.07,1000,499,497,498,496,493,999
0.3,2.07,1000,500,997,999,967,4,7
0.3,2.07,1000,500,501,499,997,502,982
0.3,2.07,1000,500,499,510,664,3,6
0.3,2.07,1000,500,496,499,494,498,501
0.3,2.07,1000,500,3,4,7,494,497
0.3,2.07,1000,498,499,501,502,497,130
0.3,2.07,1000,500,499,501,2,502,496
0.3,2.07,1000,499,500,495,502,496,494
0.3,2.07,1000,498,500,501,499,497,2
0.3,2.07,1000,499,504,502,995,64,69
0.3,2.07,1000,498,500,499,501,497,607
0.3,2.07,1000,500,498,499,492,509,490
0.3,2.07,1000,502,498,510,499,501,511
0.3,2.07,1000,499,502,503,501,500,504
0.3,2.07,1000,498,500,499,497,494,501
0.3,2.07,1000,500,502,501,498,504,497
0.3,2.07,1000,500,502,3,503,1,33
0.3,2.07,1000,501,498,503,2,766,998
0.3,2.07,1000,499,501,500,503,502,498
0.3,2.07,1000,501,500,499,503,507,504
0.3,2.07,1000,500,498,494,499,503,507
0.3,2.07,1000,500,506,40,43,45,48
0.3,2.07,1000,500,499,501,6,633,998
0.3,2.07,1000,501,499,506,504,509,1
0.3,2.07,1000,500,503,499,497,501,502
0.3,2.07,1000,501,505,971,990,999,1
0.3,2.07,1000,494,500,495,499,1,502
0.3,2.07,1000,499,494,500,501,503,492
0.3,2.07,1000,500,499,970,497,498,969
0.3,2.07,1000,502,504,916,893,960,915
0.3,2.07,1000,498,500,499,1,503,504
0.3,2.07,1000,501,2,998,3,562,754
0.3,2.07,1000,500,496,497,498,506,487
0.3,2.07,1000,498,499,502,497,503,493
0.3,2.07,1000,498,499,496,501,495,497
0.3,2.07,1000,500,498,494,820,1,524
0.3,2.07,1000,498,497,503,4,1,2
0.3,2.07,1000,500,499,502,498,505,503
0.3,2.07,1000,500,501,2,8,358,444
0.3,2.07,1000,501,503,500,1,2,3
0.3,2.07,1000,501,499,497,498,519,489
0.3,2.07,1000,500,3,488,999,1,92
0.3,2.07,1000,499,502,500,496,498,501
0.3,2.07,1000,499,500,498,1,36,196
0.3,2.07,1000,500,496,502,501,499,990
0.3,2.07,1000,499,498,497,496,500,1
0.3,2.07,1000,499,498,1,510,609,666
0.3,2.07,1000,501,500,499,503,1,26
0.3,2.07,1000,500,498,1,4,332,333
0.3,2.07,1000,500,499,501,498,451,2
0.3,2.07,1000,500,499,505,497,503,486
0.3,2.07,1000,500,501,502,497,991,993
0.3,2.07,1000,498,500,497,499,493,2
0.3,2.07,1000,498,500,520,499,518,502
0.3,2.07,1000,500,499,504,506,498,505
0.3,2.07,1000,498,497,496,493,492,500
0.3,2.07,1000,503,500,502,501,505,490
0.3,2.07,1000,499,5,18,16,497,1
0.3,2.07,1000,499,804,469,743,760,761
0.3,2.07,1000,503,497,499,495,493,500
0.3,2.07,1000,500,502,496,501,492,499
0.3,2.07,1000,499,500,498,917,997,1
0.3,2.07,1000,500,498,497,998,501,997
0.3,2.07,1000,500,499,7,93,133,143
0.3,2.07,1000,500,501,503,497,502,504
0.3,2.07,1000,500,497,503,495,506,499
0.3,2.07,1000,500,517,497,498,523,494
0.3,2.07,1000,499,496,495,500,493,484
0.3,2.07,1000,500,501,1,528,2,3
0.3,2.07,1000,500,499,502,505,497,804
0.3,2.07,1000,500,496,501,503,497,1
0.3,2.07,1000,500,501,499,504,480,910
0.3,2.07,1000,498,497,1,280,997,2
0.3,2.07,1000,500,499,491,498,490,496
0.3,2.07,1000,500,499,503,501,494,490
0.3,2.07,1000,500,499,502,498,501,1
0.3,2.07,1000,500,110,108,109,115,2
0.3,2.07,1000,500,504,501,503,506,502
0.3,2.07,1000,500,498,496,497,993,996
0.3,2.07,1000,501,498,497,499,500,6
0.3,2.07,1000,500,501,497,496,508,524
0.3,2.07,1000,500,502,504,505,501,1
0.3,2.07,1000,507,504,61,266,299,421
0.3,2.07,1000,499,501,498,497,494,500
0.3,2.07,1000,501,502,499,4,216,219
0.3,2.07,1000,497,1,496,662,997,2
0.3,2.07,1000,500,3,503,499,506,502
0.3,2.07,1000,495,500,507,681,491,657
0.3,2.07,1000,500,497,498,994,9,989
0.3,2.07,1000,499,498,946,995,996,134
0.3,2.07,1000,503,500,501,499,498,997
0.3,2.07,1000,500,501,503,502,499,510
0.3,2.07,1000,501,500,503,502,499,495
0.3,2.07,1000,498,502,499,496,497,1
0.3,2.07,1000,500,498,499,240,242,243
0.3,2.07,1000,500,501,502,2,3,505
0.3,2.07,1000,499,501,500,497,496,696
0.3,2.07,1000,497,500,498,2,496,395
0.3,2.07,1000,500,501,4,5,1,2
0.3,2.07,1000,500,499,3,5,14,133
0.3,2.07,1000,500,501,498,499,497,503
0.3,2.07,1000,501,503,499,998,996,997
0.3,2.07,1000,500,499,497,37,461,506
0.3,2.07,1000,500,502,499,497,498,501
0.3,2.07,1000,500,499,501,497,999,1
0.3,2.07,1000,500,1,2,3,12,487
0.3,2.07,1000,495,499,498,501,487,504
0.3,2.07,1000,501,500,496,990,494,502
0.3,2.07,1000,500,502,513,514,4,5
0.3,2.07,1000,499,500,498,497,506,492
0.3,2.07,1000,500,499,497,494,501,496
0.3,2.07,1000,501,498,492,503,502,489
0.3,2.07,1000,494,500,497,501,499,498
0.3,2.07,1000,496,498,499,3,489,504
0.3,2.07,1000,498,499,494,497,500,489
0.3,2.07,1000,499,328,498,998,999,1
0.3,2.07,1000,500,496,497,499,504,502
0.3,2.07,1000,498,499,500,502,494,990
0.3,2.07,1000,501,502,497,503,506,498
0.3,2.07,1000,497,498,495,493,988,1
0.3,2.07,1000,507,509,497,500,508,498
0.3,2.07,1000,498,496,500,501,1,2
0.3,2.07,1000,498,499,501,500,493,504
0.3,2.07,1000,498,499,502,496,12,457
0.3,2.07,1000,499,498,500,505,3,82
0.3,2.07,1000,495,496,489,491,497,502
0.3,2.07,1000,495,1,2,3,7,494
0.3,2.07,1000,502,498,503,497,507,997
0.3,2.07,1000,500,498,523,518,521,524
0.3,2.07,1000,502,501,500,503,982,993
0.3,2.07,1000,500,501,2,316,318,485
0.3,2.07,1000,500,498,499,6,9,5
0.3,2.07,1000,501,497,499,504,37,503
0.3,2.07,1000,499,500,501,504,492,495
0.3,2.07,1000,502,500,997,254,554,595
0.3,2.07,1000,497,498,499,493,494,496
0.3,2.07,1000,500,501,495,142,189,243
0.3,2.07,1000,500,498,92,114,95,107
0.3,2.07,1000,499,501,502,498,503,3
0.3,2.07,1000,500,496,497,499,501,246
0.3,2.07,1000,499,496,501,500,495,493
0.3,2.07,1000,496,497,495,492,490,499
