"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.3,6,1000,501,2,503,504,999,1
0.3,6,1000,499,1,2,3,4,5
0.3,6,1000,502,504,999,1,2,3
0.3,6,1000,500,498,501,999,1,2
0.3,6,1000,500,999,1,2,3,4
0.3,6,1000,500,499,1,2,3,501
0.3,6,1000,502,501,500,503,1,2
0.3,6,1000,500,499,2,3,4,501
0.3,6,1000,500,499,1,498,999,2
0.3,6,1000,500,503,507,1,2,3
0.3,6,1000,502,498,497,501,496,500
0.3,6,1000,500,502,999,1,2,3
0.3,6,1000,500,499,998,999,1,2
0.3,6,1000,501,500,1,2,3,4
0.3,6,1000,500,501,999,1,2,3
0.3,6,1000,500,502,503,499,998,1
0.3,6,1000,500,995,994,1,2,3
0.3,6,1000,500,503,999,1,2,3
0.3,6,1000,499,501,500,1,498,2
0.3,6,1000,500,499,999,1,2,3
0.3,6,1000,500,2,1,3,4,5
0.3,6,1000,500,501,2,1,3,4
0.3,6,1000,500,498,1,999,2,3
0.3,6,1000,501,500,1,503,2,3
0.3,6,1000,501,499,497,503,1,500
0.3,6,1000,500,502,501,499,503,1
0.3,6,1000,500,497,496,999,1,494
0.3,6,1000,500,3,999,1,2,4
0.3,6,1000,500,496,498,1,2,3
0.3,6,1000,499,501,502,498,998,999
0.3,6,1000,500,499,1,501,502,503
0.3,6,1000,500,499,495,497,498,1
0.3,6,1000,500,1,2,3,4,5
0.3,6,1000,500,499,7,998,999,502
0.3,6,1000,500,1,2,3,4,5
0.3,6,1000,500,999,1,2,3,4
0.3,6,1000,500,3,1,2,4,5
0.3,6,1000,499,500,501,503,504,1
0.3,6,1000,500,1,2,3,4,5
0.3,6,1000,500,501,2,1,3,4
0.3,6,1000,500,501,999,1,2,3
0.3,6,1000,500,501,499,996,1,993
0.3,6,1000,500,999,1,2,3,4
0.3,6,1000,500,499,1,2,3,4
0.3,6,1000,499,500,498,318,312,317
0.3,6,1000,500,1,2,3,4,5
0.3,6,1000,499,502,500,501,1,504
0.3,6,1000,499,1,2,3,4,5
0.3,6,1000,500,999,1,2,3,4
0.3,6,1000,500,860,866,1,2,3
0.3,6,1000,499,500,502,2,1,3
0.3,6,1000,500,2,499,1,3,4
0.3,6,1000,500,501,2,1,499,503
0.3,6,1000,500,994,2,995,993,4
0.3,6,1000,500,1,2,497,501,3
0.3,6,1000,499,500,1,2,3,4
0.3,6,1000,499,999,1,2,3,4
0.3,6,1000,500,499,498,2,502,999
0.3,6,1000,499,498,4,998,999,1
0.3,6,1000,501,502,496,1,2,3
0.3,6,1000,500,501,499,498,1,2
0.3,6,1000,500,1,4,996,997,998
0.3,6,1000,500,501,610,611,613,615
0.3,6,1000,500,998,499,1,996,2
0.3,6,1000,500,2,498,503,1,3
0.3,6,1000,500,499,997,2,1,3
0.3,6,1000,500,2,4,1,3,5
0.3,6,1000,500,502,1,503,960,977
0.3,6,1000,500,499,501,503,1,2
0.3,6,1000,500,499,501,502,503,999
0.3,6,1000,498,500,501,499,497,3
0.3,6,1000,500,1,4,48,2,3
0.3,6,1000,500,1,2,3,4,5
0.3,6,1000,500,999,1,2,3,4
0.3,6,1000,500,499,501,498,2,1
0.3,6,1000,500,997,999,1,2,498
0.3,6,1000,500,498,995,1,2,3
0.3,6,1000,504,2,1,3,4,5
