"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,2.07,1000,503,499,500,505,501,502
0.7,2.07,1000,500,498,503,501,499,496
0.7,2.07,1000,501,500,503,63,502,65
0.7,2.07,1000,500,501,509,503,504,513
0.7,2.07,1000,499,500,497,492,830,969
0.7,2.07,1000,498,500,494,503,489,502
0.7,2.07,1000,495,499,498,971,948,967
0.7,2.07,1000,517,496,513,498,516,514
0.7,2.07,1000,500,494,497,502,504,496
0.7,2.07,1000,499,500,502,497,945,953
0.7,2.07,1000,501,502,503,499,15,20
0.7,2.07,1000,498,497,499,505,494,495
0.7,2.07,1000,503,502,500,499,496,501
0.7,2.07,1000,493,495,499,492,490,502
0.7,2.07,1000,498,500,496,999,998,383
0.7,2.07,1000,503,495,497,5,8,651
0.7,2.07,1000,503,497,504,502,496,505
0.7,2.07,1000,497,500,501,495,499,498
0.7,2.07,1000,490,491,495,496,501,493
0.7,2.07,1000,500,503,508,509,497,502
0.7,2.07,1000,500,498,495,501,493,491
0.7,2.07,1000,505,508,507,446,457,1
0.7,2.07,1000,498,497,494,495,493,496
0.7,2.07,1000,498,508,495,499,497,496
0.7,2.07,1000,497,500,498,499,501,496
0.7,2.07,1000,500,498,504,206,212,506
0.7,2.07,1000,508,502,504,505,506,501
0.7,2.07,1000,507,499,500,498,496,494
0.7,2.07,1000,497,500,498,10,20,29
0.7,2.07,1000,497,500,498,492,997,1
0.7,2.07,1000,500,501,506,502,504,13
0.7,2.07,1000,501,504,500,499,496,502
0.7,2.07,1000,499,498,501,495,496,494
0.7,2.07,1000,499,498,483,481,493,497
0.7,2.07,1000,500,501,496,518,519,520
0.7,2.07,1000,495,489,494,490,499,486
0.7,2.07,1000,496,494,500,504,497,507
0.7,2.07,1000,494,490,497,493,491,492
0.7,2.07,1000,498,497,495,493,494,490
0.7,2.07,1000,500,503,501,499,445,446
0.7,2.07,1000,501,504,500,502,994,945
0.7,2.07,1000,498,496,497,501,493,507
0.7,2.07,1000,501,502,503,500,674,685
0.7,2.07,1000,495,494,501,496,488,493
0.7,2.07,1000,501,496,498,502,493,494
0.7,2.07,1000,500,502,497,503,498,488
0.7,2.07,1000,499,495,497,502,638,651
0.7,2.07,1000,505,508,507,509,511,500
0.7,2.07,1000,499,495,501,494,500,496
0.7,2.07,1000,505,500,501,508,502,503
0.7,2.07,1000,493,498,497,491,501,818
0.7,2.07,1000,505,502,508,497,503,498
0.7,2.07,1000,505,501,504,499,507,503
0.7,2.07,1000,499,500,498,502,494,505
0.7,2.07,1000,499,498,500,493,494,492
0.7,2.07,1000,501,504,503,500,497,502
0.7,2.07,1000,497,496,510,498,499,495
0.7,2.07,1000,500,501,336,342,341,499
0.7,2.07,1000,501,500,984,985,976,977
0.7,2.07,1000,501,499,775,503,500,745
0.7,2.07,1000,497,498,500,631,12,496
0.7,2.07,1000,483,486,485,489,487,484
0.7,2.07,1000,490,499,489,503,491,495
0.7,2.07,1000,497,494,498,500,10,9
0.7,2.07,1000,500,510,501,502,496,495
0.7,2.07,1000,500,503,506,504,501,499
0.7,2.07,1000,502,500,504,497,509,488
0.7,2.07,1000,501,500,499,494,502,7
0.7,2.07,1000,504,502,501,990,453,517
0.7,2.07,1000,500,499,501,508,507,498
0.7,2.07,1000,508,507,506,500,502,503
0.7,2.07,1000,503,505,497,499,498,500
0.7,2.07,1000,500,499,497,496,502,493
0.7,2.07,1000,500,499,497,501,498,496
0.7,2.07,1000,498,494,490,495,492,999
0.7,2.07,1000,494,495,499,507,505,501
0.7,2.07,1000,499,498,501,497,500,525
