"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,3.52,1000,499,2,12,446,463,498
0.7,3.52,1000,500,499,501,503,105,1
0.7,3.52,1000,499,501,498,504,502,998
0.7,3.52,1000,498,499,497,500,501,496
0.7,3.52,1000,500,501,2,1,3,6
0.7,3.52,1000,502,501,498,500,3,4
0.7,3.52,1000,500,885,950,882,883,1
0.7,3.52,1000,500,504,501,502,468,344
0.7,3.52,1000,500,498,497,499,496,495
0.7,3.52,1000,500,499,502,504,501,503
0.7,3.52,1000,499,503,500,498,4,495
0.7,3.52,1000,500,499,471,473,474,472
0.7,3.52,1000,500,499,501,502,218,5
0.7,3.52,1000,500,507,505,501,498,508
0.7,3.52,1000,503,499,502,500,497,504
0.7,3.52,1000,500,499,503,504,505,502
0.7,3.52,1000,497,501,498,7,8,3
0.7,3.52,1000,499,501,502,500,497,111
0.7,3.52,1000,498,502,500,512,997,508
0.7,3.52,1000,501,499,500,502,504,623
0.7,3.52,1000,999,501,503,499,500,995
0.7,3.52,1000,500,498,323,327,334,171
0.7,3.52,1000,502,500,501,505,504,499
0.7,3.52,1000,500,993,994,995,997,503
0.7,3.52,1000,494,501,500,499,503,429
0.7,3.52,1000,502,500,499,498,494,1
0.7,3.52,1000,501,502,500,499,503,3
0.7,3.52,1000,502,511,499,508,507,504
0.7,3.52,1000,501,500,499,503,505,533
0.7,3.52,1000,501,500,496,506,502,498
0.7,3.52,1000,500,501,489,488,486,487
0.7,3.52,1000,499,500,497,496,498,489
0.7,3.52,1000,499,501,500,498,485,488
0.7,3.52,1000,498,501,499,495,500,3
0.7,3.52,1000,496,339,843,3,94,280
0.7,3.52,1000,499,498,500,495,497,492
0.7,3.52,1000,501,502,2,996,998,116
0.7,3.52,1000,500,499,3,199,1,4
0.7,3.52,1000,500,499,498,999,161,165
0.7,3.52,1000,500,502,498,243,255,270
0.7,3.52,1000,502,498,496,499,500,497
0.7,3.52,1000,500,502,780,868,3,311
0.7,3.52,1000,500,502,501,499,771,990
0.7,3.52,1000,500,3,2,1,7,8
0.7,3.52,1000,500,501,504,502,505,506
0.7,3.52,1000,506,505,498,500,509,507
0.7,3.52,1000,500,216,217,225,220,997
0.7,3.52,1000,501,508,507,505,500,236
0.7,3.52,1000,500,52,54,851,998,46
0.7,3.52,1000,500,501,499,1,36,88
0.7,3.52,1000,502,499,500,501,503,998
0.7,3.52,1000,498,501,497,4,6,3
0.7,3.52,1000,498,495,193,192,200,204
0.7,3.52,1000,500,499,353,389,505,2
0.7,3.52,1000,500,501,499,503,1,274
0.7,3.52,1000,498,993,991,990,994,1
