"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.3,0.71,1000,512,507,511,502,504,506
0.3,0.71,1000,504,523,503,515,533,559
0.3,0.71,1000,499,498,513,515,500,514
0.3,0.71,1000,501,500,497,489,526,499
0.3,0.71,1000,479,531,510,513,570,501
0.3,0.71,1000,498,500,447,497,482,457
0.3,0.71,1000,465,499,833,467,469,834
0.3,0.71,1000,524,499,497,521,511,496
0.3,0.71,1000,489,494,499,490,495,498
0.3,0.71,1000,499,502,498,496,493,488
0.3,0.71,1000,494,503,496,499,500,510
0.3,0.71,1000,508,512,511,507,510,509
0.3,0.71,1000,468,505,460,483,461,487
0.3,0.71,1000,493,492,495,498,480,494
0.3,0.71,1000,496,492,493,494,498,500
0.3,0.71,1000,470,451,453,499,456,471
0.3,0.71,1000,522,528,553,514,491,519
0.3,0.71,1000,485,489,480,484,493,487
0.3,0.71,1000,543,544,541,546,542,548
0.3,0.71,1000,516,514,507,500,497,510
0.3,0.71,1000,519,512,510,517,507,509
0.3,0.71,1000,537,543,527,503,546,539
0.3,0.71,1000,473,469,479,464,461,483
0.3,0.71,1000,503,501,502,505,492,504
0.3,0.71,1000,456,469,435,468,483,466
0.3,0.71,1000,458,454,453,442,446,459
0.3,0.71,1000,504,501,507,500,502,511
0.3,0.71,1000,510,511,503,501,509,936
0.3,0.71,1000,492,494,489,493,496,491
0.3,0.71,1000,471,473,486,474,466,462
0.3,0.71,1000,500,505,495,494,493,504
0.3,0.71,1000,500,492,489,490,491,497
0.3,0.71,1000,516,509,508,515,517,503
0.3,0.71,1000,514,504,510,511,506,516
0.3,0.71,1000,443,460,459,464,484,444
0.3,0.71,1000,500,496,502,479,497,505
0.3,0.71,1000,494,481,493,498,482,479
0.3,0.71,1000,489,479,484,486,485,477
0.3,0.71,1000,508,519,522,514,511,526
0.3,0.71,1000,498,497,503,504,481,505
0.3,0.71,1000,486,483,487,492,488,485
0.3,0.71,1000,459,461,468,453,451,460
0.3,0.71,1000,495,505,503,501,499,502
0.3,0.71,1000,498,501,493,492,494,490
0.3,0.71,1000,506,502,515,509,499,505
0.3,0.71,1000,500,502,530,555,498,510
0.3,0.71,1000,494,490,493,506,504,491
0.3,0.71,1000,520,519,518,495,498,515
0.3,0.71,1000,507,505,511,517,508,497
0.3,0.71,1000,502,500,501,505,499,498
0.3,0.71,1000,496,498,504,500,494,502
0.3,0.71,1000,495,496,500,497,498,504
0.3,0.71,1000,564,575,561,514,499,558
0.3,0.71,1000,498,500,504,502,290,499
0.3,0.71,1000,507,501,502,503,504,505
0.3,0.71,1000,501,504,505,492,502,493
0.3,0.71,1000,498,499,497,512,504,507
0.3,0.71,1000,497,492,496,506,494,487
0.3,0.71,1000,472,525,515,468,475,469
0.3,0.71,1000,501,503,502,498,499,512
0.3,0.71,1000,497,494,486,500,489,498
0.3,0.71,1000,497,494,500,481,484,464
0.3,0.71,1000,496,493,489,499,500,478
0.3,0.71,1000,506,500,505,474,471,494
0.3,0.71,1000,502,507,510,495,504,538
0.3,0.71,1000,470,458,464,471,508,473
0.3,0.71,1000,518,529,746,524,519,521
0.3,0.71,1000,535,519,521,520,524,536
0.3,0.71,1000,510,514,519,512,511,523
0.3,0.71,1000,497,493,487,494,502,507
0.3,0.71,1000,493,494,495,500,492,483
0.3,0.71,1000,464,491,509,472,507,528
0.3,0.71,1000,522,493,532,517,512,523
0.3,0.71,1000,497,492,503,498,489,500
0.3,0.71,1000,487,495,497,492,501,500
0.3,0.71,1000,465,462,444,443,461,470
0.3,0.71,1000,517,514,498,500,502,512
0.3,0.71,1000,513,528,531,494,510,535
0.3,0.71,1000,505,502,504,483,503,506
0.3,0.71,1000,493,495,491,498,501,496
0.3,0.71,1000,520,511,503,515,514,512
0.3,0.71,1000,487,499,483,486,488,485
0.3,0.71,1000,503,505,496,502,488,527
0.3,0.71,1000,525,521,496,495,827,807
0.3,0.71,1000,636,490,485,489,635,678
0.3,0.71,1000,484,494,486,497,488,501
0.3,0.71,1000,492,473,474,470,496,857
0.3,0.71,1000,501,504,512,510,511,509
0.3,0.71,1000,484,497,483,494,526,488
0.3,0.71,1000,503,506,509,504,507,511
0.3,0.71,1000,514,516,515,519,513,518
0.3,0.71,1000,505,472,506,512,504,497
0.3,0.71,1000,476,481,491,475,513,474
0.3,0.71,1000,498,497,496,499,492,494
0.3,0.71,1000,499,506,518,500,520,517
0.3,0.71,1000,415,496,437,438,466,469
0.3,0.71,1000,508,501,509,503,493,487
0.3,0.71,1000,478,485,476,475,480,487
0.3,0.71,1000,488,474,475,487,489,478
0.3,0.71,1000,499,500,497,494,504,490
0.3,0.71,1000,523,527,514,522,528,525
0.3,0.71,1000,493,494,497,499,498,489
0.3,0.71,1000,503,501,488,499,508,490
0.3,0.71,1000,502,507,503,500,499,506
0.3,0.71,1000,453,449,498,496,494,454
0.3,0.71,1000,498,536,520,503,502,496
0.3,0.71,1000,500,471,498,501,485,494
0.3,0.71,1000,478,475,477,474,484,485
0.3,0.71,1000,476,488,493,489,486,473
0.3,0.71,1000,500,462,503,499,489,465
0.3,0.71,1000,507,496,497,490,500,498
0.3,0.71,1000,520,488,501,487,496,508
0.3,0.71,1000,521,488,520,515,553,495
0.3,0.71,1000,497,495,492,494,483,498
0.3,0.71,1000,503,504,438,512,520,499
0.3,0.71,1000,491,489,513,493,481,478
0.3,0.71,1000,496,495,486,481,490,491
0.3,0.71,1000,502,503,505,509,499,501
0.3,0.71,1000,496,502,500,499,498,504
0.3,0.71,1000,496,469,468,488,494,462
0.3,0.71,1000,517,515,520,521,530,491
0.3,0.71,1000,494,472,511,470,477,519
0.3,0.71,1000,521,518,497,506,507,504
0.3,0.71,1000,483,492,481,475,482,428
0.3,0.71,1000,533,535,550,528,537,531
0.3,0.71,1000,502,500,487,484,489,482
0.3,0.71,1000,510,518,529,505,512,506
0.3,0.71,1000,497,466,472,500,498,465
0.3,0.71,1000,510,512,530,509,488,492
0.3,0.71,1000,477,480,479,471,481,469
0.3,0.71,1000,502,501,500,498,496,490
0.3,0.71,1000,497,499,500,496,488,502
0.3,0.71,1000,514,505,504,515,506,511
0.3,0.71,1000,497,501,499,470,507,502
0.3,0.71,1000,502,499,500,501,506,503
0.3,0.71,1000,497,499,495,480,521,486
0.3,0.71,1000,504,497,489,513,502,495
0.3,0.71,1000,503,501,29,500,502,507
0.3,0.71,1000,495,492,499,391,396,493
0.3,0.71,1000,500,494,493,497,495,492
0.3,0.71,1000,497,499,502,506,525,507
0.3,0.71,1000,492,493,491,490,486,496
0.3,0.71,1000,503,474,501,527,529,518
0.3,0.71,1000,500,491,492,502,501,489
0.3,0.71,1000,500,499,469,501,505,463
0.3,0.71,1000,492,501,462,485,469,470
0.3,0.71,1000,507,510,511,495,497,496
0.3,0.71,1000,461,515,519,462,234,516
0.3,0.71,1000,483,482,499,489,485,496
0.3,0.71,1000,513,525,484,514,522,524
0.3,0.71,1000,510,507,508,505,511,509
0.3,0.71,1000,492,512,514,497,498,499
0.3,0.71,1000,482,507,484,504,501,500
0.3,0.71,1000,499,501,500,494,502,484
0.3,0.71,1000,504,501,490,506,489,503
0.3,0.71,1000,506,499,500,490,496,494
0.3,0.71,1000,511,507,510,509,512,506
