"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0,2.07,1000,501,496,500,504,502,2
0,2.07,1000,499,500,495,501,494,503
0,2.07,1000,500,502,998,1,503,498
0,2.07,1000,500,497,501,502,499,994
0,2.07,1000,500,498,992,991,499,994
0,2.07,1000,499,498,541,564,565,583
0,2.07,1000,500,502,498,499,496,998
0,2.07,1000,497,498,500,499,496,495
0,2.07,1000,500,501,30,21,502,24
0,2.07,1000,500,501,514,515,519,520
0,2.07,1000,505,503,500,492,539,691
0,2.07,1000,500,502,997,56,60,66
0,2.07,1000,502,503,500,505,2,517
0,2.07,1000,497,2,995,998,999,1
0,2.07,1000,500,499,504,497,507,502
0,2.07,1000,500,501,499,498,506,507
0,2.07,1000,501,896,399,400,884,877
0,2.07,1000,501,502,500,499,496,492
0,2.07,1000,501,500,499,497,506,509
0,2.07,1000,501,498,1,48,69,73
0,2.07,1000,502,499,498,507,2,104
0,2.07,1000,500,998,504,507,899,997
0,2.07,1000,500,499,2,6,475,998
0,2.07,1000,500,505,3,4,2,5
0,2.07,1000,500,999,1,347,359,990
0,2.07,1000,496,500,495,502,995,998
0,2.07,1000,500,496,495,493,501,502
0,2.07,1000,499,501,491,494,996,6
0,2.07,1000,502,503,497,498,999,5
0,2.07,1000,500,498,497,501,3,2
0,2.07,1000,499,501,502,491,997,1
0,2.07,1000,488,500,492,490,493,489
0,2.07,1000,500,499,502,4,1,2
0,2.07,1000,499,500,502,503,498,501
0,2.07,1000,503,501,500,499,997,3
0,2.07,1000,504,499,502,501,503,498
0,2.07,1000,502,500,504,501,503,493
0,2.07,1000,500,499,498,490,999,1
0,2.07,1000,499,498,500,496,501,4
0,2.07,1000,500,501,502,504,499,8
0,2.07,1000,497,500,496,499,498,5
0,2.07,1000,497,498,502,2,999,1
0,2.07,1000,498,499,500,496,502,495
0,2.07,1000,497,499,495,498,496,494
0,2.07,1000,499,497,496,1,742,997
0,2.07,1000,497,498,499,993,998,913
0,2.07,1000,499,99,100,97,98,128
0,2.07,1000,500,502,498,499,1,199
0,2.07,1000,500,499,502,497,504,4
0,2.07,1000,500,498,497,496,998,8
0,2.07,1000,500,1,3,998,999,2
0,2.07,1000,501,995,998,1,2,3
0,2.07,1000,499,500,501,502,489,488
0,2.07,1000,499,501,500,504,503,502
0,2.07,1000,499,497,500,501,498,120
0,2.07,1000,500,998,1,2,3,4
0,2.07,1000,501,500,499,1,3,7
0,2.07,1000,499,498,502,504,500,507
0,2.07,1000,500,499,502,503,508,501
0,2.07,1000,499,500,498,501,504,497
0,2.07,1000,501,731,814,1,2,337
0,2.07,1000,500,509,499,507,505,508
0,2.07,1000,502,505,501,498,511,507
0,2.07,1000,500,498,501,503,507,2
0,2.07,1000,500,499,1,2,3,4
0,2.07,1000,499,494,500,495,501,498
0,2.07,1000,502,504,12,13,503,20
0,2.07,1000,500,997,1,2,3,4
0,2.07,1000,501,500,2,999,3,496
0,2.07,1000,501,500,3,998,1,2
0,2.07,1000,500,503,501,505,997,433
0,2.07,1000,504,503,502,509,484,485
0,2.07,1000,498,2,3,4,607,1
0,2.07,1000,501,500,499,495,1,2
0,2.07,1000,501,500,503,493,497,499
0,2.07,1000,502,503,998,2,6,504
0,2.07,1000,503,500,502,428,443,448
0,2.07,1000,500,499,9,2,10,1
0,2.07,1000,495,496,500,494,498,4
0,2.07,1000,500,499,495,501,494,498
0,2.07,1000,501,495,502,497,993,498
0,2.07,1000,501,499,500,999,1,4
0,2.07,1000,500,499,2,3,91,210
0,2.07,1000,500,501,498,1,998,999
0,2.07,1000,500,503,501,504,502,7
